hour,minute,day_of_week,month,d1_volume,d1_tr,d1_adx,d1_ret_1d,d1_ret_5d,m1_volume,m1_ret_15m,m1_ret_60m,m1_ret_120m,is_long,entry_time,period,pnl_net,target
17,15,2,1,55603.0,4920.0,24.36217979651304,0.010750958470736371,0.0625704622322436,21.0,-0.00246196403872756,-0.01202739726027402,-0.02485127095727424,0,2007-01-17 17:15:00,train,-2930.0,0
15,19,4,1,60535.0,5400.0,22.398109596394093,-0.008237141519050084,-0.006101432870434298,60.0,0.003746357707784087,0.002855796157152035,0.0013842746400885009,0,2007-01-19 15:19:00,train,-1300.0,0
16,2,0,1,64071.0,3545.0,21.72504379296364,0.007444444444444365,0.005796056463018839,220.0,-0.004224008720534078,-0.006525285481239762,-0.00411545065547414,0,2007-01-22 16:02:00,train,-11620.0,0
13,34,1,1,54227.0,4595.0,20.259931814872573,0.018528730561376383,-0.009624922920185575,42.0,0.0006999784622012672,0.0019408054342551218,0.005981217353649537,0,2007-01-23 13:34:00,train,-8260.0,0
14,39,1,1,54227.0,4595.0,20.259931814872573,0.018528730561376383,-0.009624922920185575,321.0,-0.003956185913825072,-0.004304546677428078,-0.0023720955307563463,1,2007-01-23 14:39:00,train,7730.0,1
17,0,3,1,51524.0,5460.0,18.20897289727442,-0.0061662198391421175,0.02124025455246703,1.0,0.00151109461573129,-0.0005820105820105725,-0.0001323346478575571,1,2007-01-25 17:00:00,train,-3780.0,0
17,2,0,1,29820.0,2650.0,16.975128115667793,-0.010374655062619365,0.028372118672107538,29.0,-0.002968319930919061,-0.003613613073728539,-0.004177559766056604,0,2007-01-29 17:02:00,train,11700.0,1
18,44,0,1,29820.0,2650.0,16.975128115667793,-0.010374655062619365,0.028372118672107538,261.0,-0.0038440567066521103,-0.009299929504907545,-0.013499284537919487,0,2007-01-29 18:44:00,train,3160.0,1
17,30,1,1,36816.0,5850.0,15.904266363893692,-0.020323350403517737,-0.010855441256090947,139.0,-0.0024477447744774006,-0.0007438426359579475,0.004792509280292512,0,2007-01-30 17:30:00,train,-2140.0,0
13,37,2,1,53498.0,4490.0,15.723510896765704,0.002764169791181992,-0.017694369973190294,12.0,-0.0017901703374200162,-0.002412512536933087,-0.005781283769180856,0,2007-01-31 13:37:00,train,-3540.0,0
14,21,1,1,36816.0,5850.0,15.904266363893692,-0.020323350403517737,-0.010855441256090947,102.0,0.0006393861892584063,0.003932615607742607,-0.007308328736900127,0,2007-01-30 14:21:00,train,-32900.0,0
16,44,1,1,36816.0,5850.0,15.904266363893692,-0.020323350403517737,-0.010855441256090947,470.0,0.0022866273623891598,0.002093375568103628,0.009209686815168316,0,2007-01-30 16:44:00,train,-27580.0,0
15,10,1,1,36816.0,5850.0,15.904266363893692,-0.020323350403517737,-0.010855441256090947,2.0,0.001414623321868369,0.003641721338819126,0.007057182705718201,0,2007-01-30 15:10:00,train,-33140.0,0
14,36,3,2,50477.0,3300.0,14.923060893663946,0.009252183406113446,-0.002454815214459116,42.0,0.0035162493340437084,0.004024412995389248,0.009973190348525396,1,2007-02-01 14:36:00,train,380.0,1
