entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction,pnl_1c,period
2007-01-17 17:15:00,2007-01-18 16:43:00,180305.0,181770.0,2,-2930.0,signal_reverse,short,-1465.0,train
2007-01-19 15:19:00,2007-01-19 17:42:00,180850.0,181500.0,2,-1300.0,signal_reverse,short,-650.0,train
2007-01-22 16:02:00,2007-01-23 15:11:00,182700.0,185605.0,4,-11620.0,signal_reverse,short,-2905.0,train
2007-01-23 13:34:00,2007-01-24 13:44:00,185850.0,187915.0,4,-8260.0,signal_reverse,short,-2065.0,train
2007-01-23 14:39:00,2007-01-25 14:45:00,185050.0,188915.0,2,7730.0,signal_reverse,long,3865.0,train
2007-01-25 17:00:00,2007-01-26 17:35:00,188890.0,187000.0,2,-3780.0,signal_reverse,long,-1890.0,train
2007-01-29 17:02:00,2007-01-30 15:56:00,184740.0,181815.0,4,11700.0,signal_reverse,short,2925.0,train
2007-01-29 18:44:00,2007-01-30 16:44:00,182695.0,181905.0,4,3160.0,signal_reverse,short,790.0,train
2007-01-30 17:30:00,2007-01-30 18:16:00,181355.0,181890.0,4,-2140.0,signal_reverse,short,-535.0,train
2007-01-31 13:37:00,2007-01-31 18:44:00,184010.0,184895.0,4,-3540.0,signal_reverse,short,-885.0,train
2007-01-30 14:21:00,2007-02-01 15:52:00,179975.0,188200.0,4,-32900.0,signal_reverse,short,-8225.0,train
2007-01-30 16:44:00,2007-02-01 16:42:00,181905.0,188800.0,4,-27580.0,signal_reverse,short,-6895.0,train
2007-01-30 15:10:00,2007-02-01 16:42:00,180515.0,188800.0,4,-33140.0,signal_reverse,short,-8285.0,train
2007-02-01 14:36:00,2007-02-08 14:32:00,188360.0,188550.0,2,380.0,signal_reverse,long,190.0,train
2007-02-09 13:37:00,2007-02-09 14:23:00,187595.0,188240.0,4,-2580.0,signal_reverse,short,-645.0,train
2007-02-12 18:44:00,2007-02-13 14:21:00,182500.0,185200.0,4,-10800.0,signal_reverse,short,-2700.0,train
2007-02-13 15:52:00,2007-02-13 18:12:00,185360.0,187640.0,4,-9120.0,signal_reverse,short,-2280.0,train
2007-02-12 13:38:00,2007-02-14 13:38:00,186400.0,189300.0,4,-11600.0,signal_reverse,short,-2900.0,train
2007-02-08 15:54:00,2007-02-14 15:18:00,188445.0,189050.0,4,-2420.0,close_opposing,short,-605.0,train
2007-02-14 14:25:00,2007-02-14 15:18:00,188400.0,189050.0,4,-2600.0,signal_reverse,short,-650.0,train
