split,avg_trade,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe,time_sec,avg_trade_1c,total_pts_1c,pf_1c,sharpe_1c,mdd_1c,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,capital,point_value_mult,exitday,sdel_day,exit_week,direction,sl_type,sl_pts,sl_atr_mult,trail_atr,trail_pts,be_target,be_offset,time_bars,time_target,adx_period,adx_threshold,adx_action,tf1_minutes,tf2_minutes,use_legacy_bug
train,34416.39616613418,313,10772332.0,0.4281150159744409,1.587569192839971,2446954.0,2.449665673542683,10.07,101.19488817891374,31674.0,1.6620681005831819,2.018808806820676,5892.0,65,75,25,175,300,410,0.9925372928454078,0.9483769207185244,23,5000000,100.0,0,1,0,short,none,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0.0,skip,150,45,False
test,18120.925,120,2174511.0,0.43333333333333335,1.2756424451978816,1725978.0,0.8939980403610638,3.45,82.68333333333334,9922.0,1.445112377192589,1.2946518799196618,3786.0,65,75,25,175,300,410,0.9925372928454078,0.9483769207185244,23,5000000,100.0,0,1,0,short,none,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0.0,skip,150,45,False
