experiment,seq_len,lr_g,lr_d,generator,adv_weight,l1_weight,cls_weight,q_weight,MAE,MAPE,DirAcc,PinballLoss,time_sec,n_features,train_samples,test_samples
lw_a1.0_l0.4_c0.2_q0.3,12,0.001,5e-05,tst,1.0,0.4,0.2,0.3,0.004073922522366047,1.1643599271774292,0.4913976965732973,0.0016582397123177846,376.4,74,164386,42211
lw_a1.0_l1.0_c0.2_q0.3,12,0.001,5e-05,tst,1.0,1.0,0.2,0.3,0.004175415262579918,1.4557085037231445,0.4839091900090052,0.001711524014050762,520.2,74,164386,42211
lw_a0.5_l0.4_c0.5_q0.3,12,0.001,5e-05,tst,0.5,0.4,0.5,0.3,0.003994655329734087,1.0012747049331665,0.4865396464287407,0.0014256385232632358,1138.5,74,164386,42211
lw_a1.0_l0.4_c0.2_q1.0,12,0.001,5e-05,tst,1.0,0.4,0.2,1.0,0.004032432567328215,1.1018788814544678,0.4879141191525665,0.0014318415972714622,854.5,74,164386,42211
lw_a0.3_l0.8_c0.1_q0.5,12,0.001,5e-05,tst,0.3,0.8,0.1,0.5,0.004067625384777784,1.198747992515564,0.48310346461917625,0.0013922046249111493,635.1,74,164386,42211
lw_a2.0_l0.2_c0.1_q0.1,12,0.001,5e-05,tst,2.0,0.2,0.1,0.1,0.004905458074063063,2.6886653900146484,0.48305606900800985,0.00282816910961022,470.0,74,164386,42211
