split,train_bars,test_bars,MAE,MAPE,DirAcc,PinballLoss,time_sec
1,3000,720,0.06649203598499298,1.2490328550338745,0.5539772727272727,0.02399326053758462,27.3
2,3720,720,0.04355025663971901,1.0335752964019775,0.49857954545454547,0.01462104512999455,34.7
3,4440,720,0.04051108658313751,1.2940406799316406,0.5213068181818182,0.015291519463062286,32.1
4,5160,720,0.03314858302474022,1.0890530347824097,0.4133522727272727,0.011530202192564806,37.0
5,5880,720,0.03544451296329498,1.1788405179977417,0.5383522727272727,0.012340535099307695,44.5
