split,avg_trade,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe,time_sec,avg_trade_1c,total_pts_1c,pf_1c,sharpe_1c,mdd_1c,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,capital,point_value_mult,exitday,sdel_day,exit_week,direction,sl_type,sl_pts,sl_atr_mult,trail_atr,trail_pts,be_target,be_offset,time_bars,time_target,tf1_minutes,tf2_minutes,use_legacy_bug
train,14974.856459330143,209,3129745.0,0.4449760765550239,1.8986960666639867,537630.0,2.7133141148162347,12.9,777.3923444976076,162475.0,1.9274216564872424,2.7019832824547585,26910.0,140,55,65,75,90,230,0.9156691938608033,1.014281300460961,28,5000000,300.0,0,0,0,long,atr,0.0,4.65,0.0,0.0,0.0,0.0,0,0.0,180,60,False
test,2964.0384615384614,52,154130.0,0.4230769230769231,1.144680891008251,260310.0,0.33131595785574863,3.48,152.5,7930.0,1.1716078770828824,0.35221396320410603,8320.0,140,55,65,75,90,230,0.9156691938608033,1.014281300460961,28,5000000,300.0,0,0,0,long,atr,0.0,4.65,0.0,0.0,0.0,0.0,0,0.0,180,60,False
