experiment,ticker,timeframe,period,generator,MAE,MAPE,DirAcc,PinballLoss,time_sec,n_features,n_bars,train_samples,test_samples
GAZP_H1,GAZP,H1,2015-01-01..2021-12-31,lstm,0.17850182950496674,40.2927131652832,0.4702298532262531,0.009483395610004663,385.7,28,17738,14114,3624
LKOH_H1,LKOH,H1,2015-01-01..2021-12-31,lstm,0.0387161485850811,8.73227596282959,0.46912212683467186,0.005212253735711177,400.2,27,17738,14114,3624
RTSF_H1,RTSF,H1,2015-01-01..2021-12-31,lstm,0.2737700343132019,50.30885696411133,0.4716531681753216,0.007966984684268633,541.3,27,25182,20971,4211
