split,avg_trade,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe,time_sec,avg_trade_1c,total_pts_1c,pf_1c,sharpe_1c,mdd_1c,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,capital,point_value_mult,exitday,sdel_day,exit_week,direction,tf1_minutes,tf2_minutes,use_legacy_bug
train,11913.10650887574,338,4026630.0,0.4378698224852071,1.7240818447711435,624290.0,2.5210401991989553,11.7,604.5562130177515,204340.0,1.7613689289639882,2.503141454306458,24495.0,245,55,70,95,330,650,1.0000069354782914,0.9457871919584999,17,5000000,300.0,0,1,0,short,180,45,False
test,9639.74358974359,78,751900.0,0.358974358974359,1.4901948001147416,349850.0,1.1443957073485456,3.24,1011.5384615384615,78900.0,2.161318810715337,1.3448696323556346,12080.0,245,55,70,95,330,650,1.0000069354782914,0.9457871919584999,17,5000000,300.0,0,1,0,short,180,45,False
