fold,train_period,test_period,train_avg_1c,test_avg_1c,train_trades,test_trades,train_pf_1c,test_pf_1c,train_sharpe_1c,test_sharpe_1c,tf1,tf2,lookback,length,opt_sec
1,2007-2012,2013-2014,968.8216552734375,216.2857208251953,157,35,2.4838064579065455,1.3582584003786087,2.967297891234387,0.5874656473761494,210,60,150,25,235.9
2,2009-2014,2015-2016,683.7078857421875,-55.55555725097656,178,72,1.6738089305982338,0.9363665287941457,2.3415438257987655,-0.19201895027827584,180,120,50,120,246.4
3,2011-2016,2017-2018,460.73370361328125,-104.17910766601562,184,67,1.689003576072822,0.7914550343591276,2.416153028436236,-0.6427876921042563,300,60,35,220,244.7
4,2013-2018,2019-2020,398.7037048339844,343.4545593261719,162,55,1.507025669204804,1.300270227308854,1.5635311643963994,0.672099695848169,150,45,130,285,245.2
5,2015-2020,2021-2022,618.9403686523438,173.6666717529297,151,30,1.95935126257442,1.1575922565033272,2.2294608482750733,0.2744399271094082,150,90,150,45,237.4
