experiment,seq_len,lr_g,lr_d,generator,MAE,MAPE,DirAcc,PinballLoss,time_sec,n_features,train_samples,test_samples
lr_5e-4_5e-5,12,0.0005,5e-05,tst,0.0040902504697442055,1.1940131187438965,0.48452533295416844,0.00140900871095558,1274.2,74,164386,42211
lr_1e-3_1e-4,12,0.001,0.0001,tst,0.004065534565597773,1.0501480102539062,0.4834352338973411,0.00144987596043696,746.5,74,164386,42211
lr_2e-3_2e-4,12,0.002,0.0002,tst,0.004006010014563799,1.0297396183013916,0.48310346461917625,0.0014205524542679389,864.7,74,164386,42211
lr_5e-4_1e-4,12,0.0005,0.0001,tst,0.004380271770060062,1.6216331720352173,0.4881273994028153,0.00140898577713718,965.7,74,164386,42211
lr_1e-3_5e-5,12,0.001,5e-05,tst,0.003996900748461485,1.001237392425537,0.4879852125693161,0.001565025847715636,628.0,74,164386,42211
