phase,stage,experiment,ticker,timeframe,generator,seq_len,lr_g,lr_d,MAE,MAPE,DirAcc,PinballLoss,time_sec,notes
4,10,10b_random_walk,SBER,M5,,,,,0.001312,4.718,0.485,,,Benchmark: Random Walk.
4,10,10c_sma21,SBER,M5,,,,,0.000787,1.235,0.471,,,Benchmark: SMA(21) delta.
4,10,10d_mean_revert,SBER,M5,,,,,0.001062,2.808,0.503,,,Benchmark: Mean Reversion. Best DirAcc (50.3%).
4,10,10e_gan_tst,SBER,M5,tst,12,1e-3,5e-5,0.004001,1.015,0.488,,,GAN (TST) vs benchmarks. MAE > naive (expected for HF). DirAcc near random.
4,11,11a_repeat,SBER,M5,tst,12,1e-3,5e-5,,,,,,"Stress: Repeatability PASS. MAE spread 12.6% < 15% (2 valid runs: 0.004185 0.004746)."
4,11,11b_noise,SBER,M5,tst,12,1e-3,5e-5,,,,,,"Stress: Noise PASS. 0% degradation with 1% Gaussian noise."
4,11,11c_short_data,SBER,M5,tst,12,1e-3,5e-5,0.01108,,0.483,,348,Stress: Short data (3y) PASS. MAE higher but model works.
4,11,11d_small_batch,SBER,M5,tst,12,1e-3,5e-5,0.003995,,0.484,,7757,Stress: Small batch (32) PASS. Delta 4.5% < 30%.
4,11,11e_few_corr,SBER,M5,tst,12,1e-3,5e-5,0.004109,,0.487,,833,Stress: Few correlates (2) PASS. MAE ~same.
A,0,A0_simplify,SBER,H1,,,,,,,,,,Pipeline simplified: use_fourier=False use_pca=False ae_epochs=0. ~40% faster.
A,1,A1_baseline_tst,SBER,H1,tst,12,1e-3,5e-5,0.7097,213.8,0.476,0.0066,453,TST DIVERGED on H1. MAE 0.71.
A,1,A1_baseline_lstm,SBER,H1,lstm,12,1e-3,5e-5,0.0164,3.255,0.512,0.0053,445,LSTM wins on H1. DirAcc 51.2%. BEST_GEN_H1=lstm.
A,2,A2_seq3,SBER,H1,lstm,3,1e-3,5e-5,0.2284,,0.477,0.0049,297,seq=3: too short for H1.
A,2,A2_seq6,SBER,H1,lstm,6,1e-3,5e-5,0.0668,,0.474,0.0048,321,seq=6: poor DirAcc.
A,2,A2_seq12,SBER,H1,lstm,12,1e-3,5e-5,0.0149,,0.503,0.0049,320,BEST_SEQ_LEN_H1=12. Best MAE + DirAcc > 50%.
A,2,A2_seq24,SBER,H1,lstm,24,1e-3,5e-5,0.0222,,0.476,0.0066,285,seq=24: DirAcc drops.
A,2,A2_seq48,SBER,H1,lstm,48,1e-3,5e-5,0.1577,,0.511,0.0202,266,seq=48: DirAcc 51.1% but MAE 10x worse.
A,3,A3_lr_5e4_5e5,SBER,H1,lstm,12,5e-4,5e-5,0.0782,,0.509,0.0165,276,LR sweep.
A,3,A3_lr_1e3_1e4,SBER,H1,lstm,12,1e-3,1e-4,0.0313,,0.512,0.0140,278,LR sweep.
A,3,A3_lr_1e3_5e5,SBER,H1,lstm,12,1e-3,5e-5,0.0147,,0.508,0.0056,302,LR sweep.
A,3,A3_lr_2e3_2e4,SBER,H1,lstm,12,2e-3,2e-4,0.0146,,0.515,0.0048,323,BEST_LR_H1. All 5 combos DirAcc >= 50%!
A,3,A3_lr_5e4_1e4,SBER,H1,lstm,12,5e-4,1e-4,0.0236,,0.500,0.0108,302,LR sweep.
A,4,A4_lw_a1_l04_c02_q03,SBER,H1,lstm,12,2e-3,2e-4,0.0161,,0.512,0.0048,308,BEST_LOSS_H1. q=0.3 better than q=1.0 on H1.
