entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason
2007-02-02 13:38:00,2007-02-08 13:30:00,189805.0,188700.0,12,-13260.0,signal_reverse
2007-02-22 13:31:00,2007-02-22 14:35:00,192500.0,191595.0,16,-14480.0,signal_reverse
2007-02-26 13:39:00,2007-02-27 16:41:00,197105.0,191605.0,14,-77000.0,stop_loss
2007-03-26 13:33:00,2007-03-28 13:36:00,191400.0,191865.0,11,5115.0,signal_reverse
2007-03-30 13:33:00,2007-04-03 14:39:00,194685.0,192135.0,16,-40800.0,signal_reverse
2007-04-13 13:36:00,2007-04-17 13:34:00,197360.0,196820.0,17,-9180.0,signal_reverse
2007-06-18 13:30:00,2007-06-22 13:29:00,192575.0,191305.0,12,-15240.0,signal_reverse
2007-07-03 13:30:00,2007-07-13 13:29:00,195560.0,207650.0,19,229710.0,signal_reverse
2007-09-18 13:29:00,2007-09-27 13:29:00,195895.0,208710.0,19,243485.0,signal_reverse
2007-10-26 13:29:00,2007-11-09 14:34:00,219010.0,228100.0,14,127260.0,signal_reverse
2007-12-06 13:29:00,2007-12-10 11:29:00,228555.0,229300.0,14,10430.0,expiration
2008-02-18 13:29:00,2008-02-28 13:29:00,203800.0,207955.0,7,29085.0,signal_reverse
2008-03-28 13:29:00,2008-03-28 14:32:00,203470.0,202290.0,10,-11800.0,signal_reverse
2008-03-31 13:29:00,2008-04-04 13:29:00,203500.0,205375.0,11,20625.0,signal_reverse
2008-04-10 13:29:00,2008-04-11 13:29:00,209865.0,212450.0,16,41360.0,signal_reverse
2008-04-17 13:29:00,2008-04-23 13:29:00,216050.0,215060.0,12,-11880.0,signal_reverse
2008-05-07 13:29:00,2008-05-21 13:29:00,216815.0,247690.0,19,586625.0,signal_reverse
2008-06-01 21:08:00,2008-06-02 13:29:00,245975.0,244850.0,9,-10125.0,signal_reverse
2008-06-02 14:32:00,2008-06-03 13:29:00,245800.0,243065.0,9,-24615.0,signal_reverse
2008-10-30 13:31:00,2008-11-06 13:29:00,75790.0,76000.0,6,1260.0,signal_reverse
2008-11-07 14:32:00,2008-11-10 13:32:00,80600.0,87500.0,6,41400.0,signal_reverse
2008-11-26 13:29:00,2008-12-01 13:29:00,66525.0,62600.0,7,-27475.0,signal_reverse
2009-02-09 13:29:00,2009-02-16 13:29:00,56250.0,59300.0,22,67100.0,signal_reverse
2009-03-05 13:29:00,2009-03-10 11:42:00,55965.0,59900.0,19,74765.0,expiration
2009-03-19 13:29:00,2009-03-26 13:29:00,67065.0,72660.0,16,89520.0,signal_reverse
2009-04-03 13:29:00,2009-04-07 13:29:00,72935.0,70995.0,14,-27160.0,signal_reverse
2009-04-09 13:29:00,2009-04-13 13:29:00,76775.0,79275.0,15,37500.0,signal_reverse
2009-04-30 13:29:00,2009-05-13 13:29:00,81075.0,96010.0,20,298700.0,signal_reverse
2009-05-19 13:29:00,2009-05-26 13:29:00,97290.0,97030.0,14,-3640.0,signal_reverse
2009-05-27 13:29:00,2009-05-28 13:29:00,102815.0,103200.0,15,5775.0,signal_reverse
2009-05-28 14:32:00,2009-06-04 13:29:00,103040.0,112945.0,14,138670.0,signal_reverse
2009-07-20 13:29:00,2009-07-23 13:29:00,95450.0,96815.0,15,20475.0,signal_reverse
2009-08-03 13:29:00,2009-08-07 13:29:00,105550.0,104050.0,12,-18000.0,signal_reverse
2009-08-24 13:29:00,2009-08-27 13:29:00,107095.0,107195.0,16,1600.0,signal_reverse
2009-09-04 13:29:00,2009-09-04 14:32:00,108450.0,107220.0,18,-22140.0,signal_reverse
2009-09-07 13:29:00,2009-09-08 11:29:00,107785.0,109645.0,16,29760.0,expiration
2009-09-23 13:29:00,2009-09-23 14:32:00,125970.0,124925.0,18,-18810.0,signal_reverse
2009-09-30 13:29:00,2009-10-01 13:29:00,125745.0,125240.0,16,-8080.0,signal_reverse
2009-10-07 13:29:00,2009-10-14 13:29:00,129085.0,145755.0,17,283390.0,signal_reverse
2009-10-20 13:29:00,2009-10-20 14:32:00,145695.0,144710.0,12,-11820.0,signal_reverse
