entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,period,pnl_1c
2007-03-01 18:09:00,2007-03-09 12:00:00,177120.0,180100.0,6,-17880.0,expiration,train,-2980.0
2007-03-21 15:04:00,2007-03-22 15:11:00,182500.0,186400.0,7,-27300.0,signal_reverse,train,-3900.0
2007-04-19 15:11:00,2007-04-20 15:14:00,189700.0,193395.0,10,-36950.0,signal_reverse,train,-3695.0
2007-04-27 17:59:00,2007-04-28 16:15:00,188930.0,191310.0,10,-23800.0,signal_reverse,train,-2380.0
2007-05-14 15:00:00,2007-05-14 16:31:00,184155.0,184975.0,11,-9020.0,signal_reverse,train,-820.0
2007-05-15 15:04:00,2007-05-15 16:36:00,183500.0,184250.0,9,-6750.0,signal_reverse,train,-750.0
2007-05-17 16:32:00,2007-06-01 17:59:00,186800.0,184700.0,8,16800.0,signal_reverse,train,2100.0
2007-06-04 15:00:00,2007-06-05 15:00:00,182550.0,184600.0,7,-14350.0,signal_reverse,train,-2050.0
2007-06-05 16:30:00,2007-06-07 17:58:00,183660.0,182700.0,7,6720.0,signal_reverse,train,960.0
2007-08-10 14:59:00,2007-08-27 11:59:00,189155.0,189480.0,9,-2925.0,stop_loss,train,-325.0
2007-08-27 14:59:00,2007-08-31 14:59:00,190270.0,191585.0,9,-11835.0,signal_reverse,train,-1315.0
2008-01-16 16:34:00,2008-02-13 15:02:00,222585.0,199780.0,8,182440.0,signal_reverse,train,22805.0
2008-03-24 15:02:00,2008-03-24 17:59:00,196630.0,201000.0,6,-26220.0,signal_reverse,train,-4370.0
2008-03-25 17:59:00,2008-03-26 16:32:00,198375.0,198445.0,7,-490.0,signal_reverse,train,-70.0
2008-03-26 17:59:00,2008-03-27 15:02:00,198600.0,202400.0,7,-26600.0,signal_reverse,train,-3800.0
2008-06-23 15:02:00,2008-07-11 16:32:00,233480.0,217850.0,12,187560.0,signal_reverse,train,15630.0
2008-07-18 18:17:00,2008-07-21 15:02:00,215105.0,216815.0,8,-13680.0,signal_reverse,train,-1710.0
2008-07-21 16:32:00,2008-08-08 15:02:00,216135.0,176390.0,8,317960.0,signal_reverse,train,39745.0
2008-09-02 21:29:00,2008-09-08 11:59:00,165605.0,153945.0,9,104940.0,expiration,train,11660.0
2008-09-29 15:02:00,2008-09-30 22:47:00,122675.0,122730.0,4,-220.0,signal_reverse,train,-55.0
2008-10-03 15:02:00,2008-10-21 15:02:00,109315.0,77380.0,4,127740.0,signal_reverse,train,31935.0
2008-10-22 15:02:00,2008-10-23 15:02:00,69900.0,64815.0,6,30510.0,signal_reverse,train,5085.0
2008-11-12 19:47:00,2008-11-19 19:47:00,59235.0,59835.0,4,-2400.0,stop_loss,train,-600.0
2008-11-19 21:17:00,2008-11-24 21:17:00,60720.0,66415.0,5,-28475.0,signal_reverse,train,-5695.0
2008-12-02 22:47:00,2008-12-03 15:02:00,60250.0,59710.0,12,6480.0,signal_reverse,train,540.0
2008-12-05 19:47:00,2008-12-08 11:59:00,59045.0,64615.0,11,-61270.0,expiration,train,-5570.0
2008-12-25 15:02:00,2009-01-11 15:02:00,64320.0,61000.0,14,46480.0,signal_reverse,train,3320.0
2009-01-11 16:32:00,2009-01-11 18:17:00,60320.0,60820.0,17,-8500.0,signal_reverse,train,-500.0
2009-01-12 15:02:00,2009-01-14 15:02:00,60430.0,60210.0,17,3740.0,signal_reverse,train,220.0
2009-01-14 18:17:00,2009-01-22 19:47:00,56270.0,48345.0,21,166425.0,signal_reverse,train,7925.0
2009-02-18 15:02:00,2009-02-18 19:47:00,50100.0,51450.0,13,-17550.0,signal_reverse,train,-1350.0
2009-02-20 16:32:00,2009-02-24 15:02:00,51060.0,50140.0,11,10120.0,signal_reverse,train,920.0
2009-02-26 15:02:00,2009-02-26 16:32:00,53760.0,53725.0,14,490.0,signal_reverse,train,35.0
2009-02-27 16:32:00,2009-02-27 21:17:00,52500.0,53965.0,14,-20510.0,signal_reverse,train,-1465.0
2009-03-02 15:02:00,2009-03-03 18:17:00,51695.0,52810.0,15,-16725.0,signal_reverse,train,-1115.0
2009-06-19 16:32:00,2009-07-03 18:17:00,100635.0,93190.0,10,74450.0,signal_reverse,train,7445.0
2009-08-19 18:17:00,2009-08-19 21:17:00,97265.0,101185.0,10,-39200.0,signal_reverse,train,-3920.0
2009-11-25 18:02:00,2009-11-25 19:47:00,141390.0,142500.0,10,-11100.0,signal_reverse,train,-1110.0
2009-11-26 15:02:00,2009-11-30 15:02:00,138375.0,134930.0,10,34450.0,signal_reverse,train,3445.0
2010-01-26 15:02:00,2010-01-26 21:17:00,144210.0,146545.0,9,-21015.0,signal_reverse,train,-2335.0
2010-02-04 18:02:00,2010-02-12 15:01:00,146440.0,136790.0,14,135100.0,signal_reverse,train,9650.0
2010-02-25 16:32:00,2010-02-26 15:02:00,137860.0,139275.0,11,-15565.0,signal_reverse,train,-1415.0
2010-02-26 18:02:00,2010-02-26 19:47:00,138490.0,139890.0,12,-16800.0,signal_reverse,train,-1400.0
2010-04-28 15:02:00,2010-05-14 19:57:00,154110.0,141120.0,16,207840.0,signal_reverse,train,12990.0
2010-06-29 16:02:00,2010-07-06 16:02:00,135225.0,133880.0,14,18830.0,signal_reverse,train,1345.0
2010-07-07 14:32:00,2010-07-07 17:32:00,132025.0,133835.0,17,-30770.0,signal_reverse,train,-1810.0
2010-08-12 17:32:00,2010-08-12 20:47:00,142715.0,143480.0,14,-10710.0,signal_reverse,train,-765.0
2010-08-19 17:32:00,2010-08-27 19:17:00,145220.0,142010.0,20,64200.0,signal_reverse,train,3210.0
2010-11-16 14:32:00,2010-11-18 14:32:00,157830.0,159320.0,21,-31290.0,signal_reverse,train,-1490.0
2010-11-19 16:02:00,2010-11-19 20:47:00,158920.0,160040.0,16,-17920.0,signal_reverse,train,-1120.0
2010-11-22 20:47:00,2010-11-24 19:17:00,159175.0,160175.0,17,-17000.0,signal_reverse,train,-1000.0
2011-02-09 20:47:00,2011-02-11 19:27:00,187645.0,187885.0,11,-2640.0,signal_reverse,train,-240.0
2011-02-14 14:32:00,2011-02-21 12:59:00,186555.0,186130.0,12,5100.0,stop_loss,train,425.0
2011-02-22 14:32:00,2011-02-24 14:32:00,183720.0,186315.0,15,-38925.0,signal_reverse,train,-2595.0
2011-04-18 20:47:00,2011-04-19 14:32:00,188845.0,191725.0,10,-28800.0,signal_reverse,train,-2880.0
2011-05-03 22:17:00,2011-05-11 14:32:00,192260.0,193315.0,10,-10550.0,stop_loss,train,-1055.0
2011-05-11 16:02:00,2011-05-19 14:32:00,192935.0,186530.0,10,64050.0,signal_reverse,train,6405.0
2011-05-20 14:32:00,2011-05-27 14:32:00,184605.0,183500.0,11,12155.0,stop_loss,train,1105.0
2011-06-20 14:32:00,2011-06-20 17:32:00,183285.0,182995.0,11,3190.0,signal_reverse,train,290.0
