experiment,ticker,timeframe,period,generator,MAE,MAPE,DirAcc,PinballLoss,time_sec,n_features,n_bars,train_samples,test_samples
SBER_D1,SBER,D1,2015-01-01..2021-12-31,tst,0.12428487092256546,8.407462120056152,0.4834710743801653,0.058351496855417885,88.3,75,1743,1488,255
SBER_H1,SBER,H1,2015-01-01..2021-12-31,tst,0.04252166301012039,13.124512672424316,0.5156466352810856,0.01857387429724137,383.2,75,17738,14114,3624
SBER_M5,SBER,M5,2015-01-01..2021-12-31,tst,0.003993191756308079,1.0003024339675903,0.48286648656334424,0.0016799983956540625,823.8,74,206597,164386,42211
