split,avg_trade,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe,time_sec,avg_trade_1c,total_pts_1c,pf_1c,sharpe_1c,mdd_1c,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,capital,point_value_mult,exitday,sdel_day,exit_week,tf1_minutes,tf2_minutes,use_legacy_bug
train,13416.507936507936,315,4226200.0,0.3142857142857143,1.7662239240556818,655830.0,2.2884771747440946,27.47,570.7142944335938,179775.0,1.651311499166727,2.1528866600370704,31625.0,95,280,85,185,180,500,0.9608569485531088,1.0101683598468882,26,5000000,300.0,0,1,0,150,60,False
test,20043.91891891892,74,1483250.0,0.3783783783783784,2.2602168261142923,177780.0,2.0695741269362884,7.45,839.5946044921875,62130.0,2.4031165311653115,2.2284739923358403,7690.0,95,280,85,185,180,500,0.9608569485531088,1.0101683598468882,26,5000000,300.0,0,1,0,150,60,False
