year,split,trades,net_pnl,pf,win_rate,avg_1c,total_1c,pf_1c,max_dd
2007,TR,11,439453.98300000007,3.535468064048372,45.45454545454545,2121.3636363636365,23335.0,2.9658803706823926,154915.01149999996
2008,TR,11,630076.6109999999,8.177072240540104,54.54545454545454,3331.3636363636365,36645.0,4.681064791562029,35621.72100000002
2009,TR,24,834547.417,4.733447190814316,50.0,1947.9166666666667,46750.0,4.167344173441735,109567.18249999988
2010,TR,19,484255.70350000006,2.3435104207364255,57.89473684210527,1112.1052631578948,21130.0,2.036038244667811,80661.456
2011,TR,16,510844.55749999994,4.663078578974535,56.25,2158.4375,34535.0,3.9008819823603527,47394.566500000015
2012,TR,19,-3417.5575000000244,0.9865929346052209,52.63157894736842,70.52631578947368,1340.0,1.1088103938286642,123721.5135
2013,TR,17,-13380.87699999992,0.9582595486114092,35.294117647058826,12.352941176470589,210.0,1.0182608695652173,237694.262
2014,TR,12,-85798.043,0.7425310801408147,25.0,-495.0,-5940.0,0.6687116564417178,253212.997
2015,TR,24,-133510.642,0.8061318846834723,25.0,-295.8333333333333,-7100.0,0.7820748925721301,464582.939
2016,TR,27,396343.73,2.0558928534112373,59.25925925925925,498.51851851851853,13460.0,1.8991315965263862,180621.24899999998
2017,TR,17,-170987.15099999998,0.5528447089810535,29.411764705882355,-264.11764705882354,-4490.0,0.5545634920634921,195046.36999999997
2018,TR,12,126203.38699999993,1.6081059269737477,33.33333333333333,216.66666666666666,2600.0,1.3751803751803753,112599.81700000001
2019,TE,10,65162.25200000001,1.3346864089281059,60.0,210.0,2100.0,1.4666666666666666,83331.325
2020,TE,16,128771.20199999993,1.4234603763879445,31.25,736.875,11790.0,1.7034606205250598,106491.696
2021,TE,21,-51964.630000000005,0.9009935788548747,38.095238095238095,-118.57142857142857,-2490.0,0.8682539682539683,170486.96800000002
2022,TE,5,-26732.727,0.583572318655716,60.0,-694.0,-3470.0,0.42644628099173554,64195.365
