y_true,y_pred,y_logit,q10,q50,q90
-0.01111269,0.0002688393,-0.038421072,-0.008832216,-0.00097453594,0.0014079772
0.006325841,0.00022099353,-0.03812792,-0.008965634,-0.0010248646,0.0016924404
0.006154299,0.00012532063,-0.037746653,-0.009044804,-0.0010016933,0.0016811453
0.00341928,0.00027989037,-0.0384712,-0.008811355,-0.000974752,0.001387436
0.007863998,0.00019788742,-0.03804577,-0.008979585,-0.0010236725,0.001689665
-0.004102826,0.00018785708,-0.037989125,-0.008987922,-0.0010198951,0.0016919412
0.0032482147,0.00035237893,-0.038768247,-0.008752957,-0.0009860843,0.001378715
0.006667137,0.0003181398,-0.0386011,-0.008783352,-0.0009703785,0.0013867505
-0.0035899878,0.0003337562,-0.038653962,-0.008800216,-0.0010013059,0.0014891662
0.0035899878,0.0003803093,-0.038917236,-0.008694004,-0.00096011907,0.0012600608
0.009744644,0.0002187416,-0.038155884,-0.008958481,-0.0010156855,0.0016555525
0.0039322376,0.00019486062,-0.038049057,-0.008964617,-0.0010007843,0.0016203485
-0.0025647879,0.00014947169,-0.03783557,-0.009048082,-0.0010243878,0.0017523356
-0.0030771494,0.00013406761,-0.037766173,-0.009066239,-0.0010258406,0.001770217
0.003248334,8.383207e-05,-0.037560478,-0.009101711,-0.0010004938,0.0017289072
0.0015385151,0.0001273416,-0.037732527,-0.009067476,-0.0010195374,0.00175469
-0.00051283836,6.175041e-05,-0.03746829,-0.009125002,-0.0010049716,0.0017549507
0.0076932907,3.857538e-05,-0.037357934,-0.0091681,-0.001018934,0.0018301383
0.008376837,4.6353787e-05,-0.037369438,-0.009164803,-0.0010276586,0.0018611848
-0.002564311,-0.000101206824,-0.03673657,-0.0093041435,-0.0010231435,0.0019523017
-0.0006840229,-0.00019369833,-0.036303923,-0.00950345,-0.0010824949,0.0022739917
-0.0035899878,-0.00016475096,-0.036465064,-0.009430159,-0.0010567233,0.0021367706
0.0017096996,-5.2014366e-05,-0.036993474,-0.009266637,-0.0010267645,0.0019071773
0.0015386343,-2.9783696e-05,-0.037073918,-0.009266529,-0.00104478,0.0019632876
-0.0011968613,1.1887401e-05,-0.03724975,-0.009186786,-0.0010140762,0.0018204264
0.0020513535,9.8939985e-05,-0.03764291,-0.009066723,-0.0010012314,0.0016855597
-0.0006839037,9.872019e-07,-0.037129894,-0.009264566,-0.001061961,0.002041541
-0.0059831142,0.00014479831,-0.037840627,-0.0090122,-0.0009993017,0.0016370416
0.0013674498,3.4034252e-05,-0.0372822,-0.009221286,-0.0010550246,0.001990512
