experiment,seq_len,lr_g,lr_d,generator,adv_weight,l1_weight,cls_weight,q_weight,MAE,MAPE,DirAcc,PinballLoss,time_sec,n_features,train_samples,test_samples
lr_5e-4_5e-5,12,0.0005,5e-05,lstm,1.0,0.4,0.2,1.0,0.07820026576519012,24.984424591064453,0.5087233453337026,0.016515872441232204,275.5,28,14114,3624
lr_1e-3_1e-4,12,0.001,0.0001,lstm,1.0,0.4,0.2,1.0,0.03129848465323448,8.402825355529785,0.5117695929105511,0.014005291896561781,277.7,28,14114,3624
lr_1e-3_5e-5,12,0.001,5e-05,lstm,1.0,0.4,0.2,1.0,0.014677857048809528,1.9530712366104126,0.5078925505400166,0.005570267016688983,302.0,28,14114,3624
lr_2e-3_2e-4,12,0.002,0.0002,lstm,1.0,0.4,0.2,1.0,0.014645286835730076,2.161194324493408,0.5148158404873996,0.004820641595870256,322.9,28,14114,3624
lr_5e-4_1e-4,12,0.0005,0.0001,lstm,1.0,0.4,0.2,1.0,0.023642754182219505,5.708395957946777,0.5001384657989476,0.010834232127914825,302.2,28,14114,3624
