entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,period,pnl_1c
2007-02-02 13:38:00,2007-02-08 13:30:00,189805.0,188700.0,12,-13260.0,signal_reverse,train,-1105.0
2007-02-22 13:31:00,2007-02-22 14:35:00,192500.0,191595.0,16,-14480.0,signal_reverse,train,-905.0
2007-02-26 13:39:00,2007-02-27 16:41:00,197105.0,191605.0,14,-77000.0,stop_loss,train,-5500.0
2007-03-26 13:33:00,2007-03-28 13:36:00,191400.0,191865.0,11,5115.0,signal_reverse,train,465.0
2007-03-30 13:33:00,2007-04-03 14:39:00,194685.0,192135.0,16,-40800.0,signal_reverse,train,-2550.0
2007-04-13 13:36:00,2007-04-17 13:34:00,197360.0,196820.0,17,-9180.0,signal_reverse,train,-540.0
2007-06-18 13:30:00,2007-06-22 13:29:00,192575.0,191305.0,12,-15240.0,signal_reverse,train,-1270.0
2007-07-03 13:30:00,2007-07-13 13:29:00,195560.0,207650.0,19,229710.0,signal_reverse,train,12090.0
2007-09-18 13:29:00,2007-09-27 13:29:00,195895.0,208710.0,19,243485.0,signal_reverse,train,12815.0
2007-10-26 13:29:00,2007-11-09 14:34:00,219010.0,228100.0,14,127260.0,signal_reverse,train,9090.0
2007-12-06 13:29:00,2007-12-10 11:29:00,228555.0,229300.0,14,10430.0,expiration,train,745.0
2008-02-18 13:29:00,2008-02-28 13:29:00,203800.0,207955.0,7,29085.0,signal_reverse,train,4155.0
2008-03-28 13:29:00,2008-03-28 14:32:00,203470.0,202290.0,10,-11800.0,signal_reverse,train,-1180.0
2008-03-31 13:29:00,2008-04-04 13:29:00,203500.0,205375.0,11,20625.0,signal_reverse,train,1875.0
2008-04-10 13:29:00,2008-04-11 13:29:00,209865.0,212450.0,16,41360.0,signal_reverse,train,2585.0
2008-04-17 13:29:00,2008-04-23 13:29:00,216050.0,215060.0,12,-11880.0,signal_reverse,train,-990.0
2008-05-07 13:29:00,2008-05-21 13:29:00,216815.0,247690.0,19,586625.0,signal_reverse,train,30875.0
2008-06-01 21:08:00,2008-06-02 13:29:00,245975.0,244850.0,9,-10125.0,signal_reverse,train,-1125.0
2008-06-02 14:32:00,2008-06-03 13:29:00,245800.0,243065.0,9,-24615.0,signal_reverse,train,-2735.0
2008-10-30 13:31:00,2008-11-06 13:29:00,75790.0,76000.0,6,1260.0,signal_reverse,train,210.0
2008-11-07 14:32:00,2008-11-10 13:32:00,80600.0,87500.0,6,41400.0,signal_reverse,train,6900.0
2008-11-26 13:29:00,2008-12-01 13:29:00,66525.0,62600.0,7,-27475.0,signal_reverse,train,-3925.0
2009-02-09 13:29:00,2009-02-16 13:29:00,56250.0,59300.0,22,67100.0,signal_reverse,train,3050.0
2009-03-05 13:29:00,2009-03-10 11:42:00,55965.0,59900.0,19,74765.0,expiration,train,3935.0
2009-03-19 13:29:00,2009-03-26 13:29:00,67065.0,72660.0,16,89520.0,signal_reverse,train,5595.0
2009-04-03 13:29:00,2009-04-07 13:29:00,72935.0,70995.0,14,-27160.0,signal_reverse,train,-1940.0
2009-04-09 13:29:00,2009-04-13 13:29:00,76775.0,79275.0,15,37500.0,signal_reverse,train,2500.0
2009-04-30 13:29:00,2009-05-13 13:29:00,81075.0,96010.0,20,298700.0,signal_reverse,train,14935.0
2009-05-19 13:29:00,2009-05-26 13:29:00,97290.0,97030.0,14,-3640.0,signal_reverse,train,-260.0
2009-05-27 13:29:00,2009-05-28 13:29:00,102815.0,103200.0,15,5775.0,signal_reverse,train,385.0
2009-05-28 14:32:00,2009-06-04 13:29:00,103040.0,112945.0,14,138670.0,signal_reverse,train,9905.0
2009-07-20 13:29:00,2009-07-23 13:29:00,95450.0,96815.0,15,20475.0,signal_reverse,train,1365.0
2009-08-03 13:29:00,2009-08-07 13:29:00,105550.0,104050.0,12,-18000.0,signal_reverse,train,-1500.0
2009-08-24 13:29:00,2009-08-27 13:29:00,107095.0,107195.0,16,1600.0,signal_reverse,train,100.0
2009-09-04 13:29:00,2009-09-04 14:32:00,108450.0,107220.0,18,-22140.0,signal_reverse,train,-1230.0
2009-09-07 13:29:00,2009-09-08 11:29:00,107785.0,109645.0,16,29760.0,expiration,train,1860.0
2009-09-23 13:29:00,2009-09-23 14:32:00,125970.0,124925.0,18,-18810.0,signal_reverse,train,-1045.0
2009-09-30 13:29:00,2009-10-01 13:29:00,125745.0,125240.0,16,-8080.0,signal_reverse,train,-505.0
2009-10-07 13:29:00,2009-10-14 13:29:00,129085.0,145755.0,17,283390.0,signal_reverse,train,16670.0
2009-10-20 13:29:00,2009-10-20 14:32:00,145695.0,144710.0,12,-11820.0,signal_reverse,train,-985.0
2009-10-23 13:29:00,2009-10-23 14:32:00,146310.0,145635.0,10,-6750.0,signal_reverse,train,-675.0
2009-10-26 13:29:00,2009-10-26 14:32:00,146315.0,146025.0,12,-3480.0,signal_reverse,train,-290.0
2009-11-11 13:29:00,2009-11-13 13:29:00,144185.0,140300.0,12,-46620.0,signal_reverse,train,-3885.0
2009-11-16 13:29:00,2009-11-17 13:29:00,145635.0,146845.0,12,14520.0,signal_reverse,train,1210.0
2009-12-18 13:29:00,2009-12-21 13:29:00,143150.0,142070.0,12,-12960.0,signal_reverse,train,-1080.0
2009-12-28 13:29:00,2009-12-29 13:29:00,146600.0,145235.0,29,-39585.0,signal_reverse,train,-1365.0
2010-01-11 13:29:00,2010-01-12 21:57:00,157435.0,152800.0,18,-83430.0,stop_loss,train,-4635.0
2010-01-13 13:29:00,2010-01-18 13:29:00,154290.0,156650.0,18,42480.0,signal_reverse,train,2360.0
2010-01-20 13:29:00,2010-01-21 12:29:00,159210.0,154200.0,16,-80160.0,stop_loss,train,-5010.0
2010-03-01 13:29:00,2010-03-09 11:29:00,143045.0,151160.0,25,202875.0,expiration,train,8115.0
2010-03-18 13:29:00,2010-03-19 13:29:00,155890.0,153500.0,20,-47800.0,signal_reverse,train,-2390.0
2010-03-29 14:32:00,2010-04-06 13:29:00,153750.0,161895.0,17,138465.0,signal_reverse,train,8145.0
2010-04-12 13:29:00,2010-04-12 14:32:00,162495.0,161475.0,21,-21420.0,signal_reverse,train,-1020.0
2010-04-14 13:29:00,2010-04-16 13:29:00,162835.0,164075.0,23,28520.0,signal_reverse,train,1240.0
2010-06-03 12:59:00,2010-06-04 12:59:00,141405.0,141870.0,11,5115.0,signal_reverse,train,465.0
2010-06-18 12:59:00,2010-06-18 13:59:00,139780.0,138760.0,11,-11220.0,signal_reverse,train,-1020.0
2010-06-21 12:59:00,2010-06-22 13:59:00,144505.0,142620.0,13,-24505.0,signal_reverse,train,-1885.0
2010-07-13 13:59:00,2010-07-15 12:59:00,140530.0,142770.0,16,35840.0,signal_reverse,train,2240.0
2010-07-22 13:59:00,2010-07-30 12:59:00,143170.0,148230.0,17,86020.0,signal_reverse,train,5060.0
2010-08-30 13:59:00,2010-08-31 12:59:00,142290.0,139830.0,22,-54120.0,signal_reverse,train,-2460.0
2010-09-03 12:59:00,2010-09-07 12:59:00,145320.0,145460.0,22,3080.0,signal_reverse,train,140.0
2010-10-01 12:59:00,2010-10-06 12:59:00,151225.0,158470.0,27,195615.0,signal_reverse,train,7245.0
2010-10-25 12:59:00,2010-10-26 12:59:00,163130.0,161155.0,17,-33575.0,signal_reverse,train,-1975.0
2010-11-08 12:59:00,2010-11-10 13:59:00,164275.0,164785.0,22,11220.0,signal_reverse,train,510.0
