y_true,y_pred,y_logit,q10,q50,q90
-0.01111269,-0.004468287,-0.044150785,-0.0052063726,0.00019694719,0.0030078292
0.006325841,-0.009671008,-0.038604077,-0.006641646,0.0004916164,0.003889211
0.006154299,-0.00916538,-0.0436901,-0.005857916,0.00038352393,0.0031837984
0.00341928,-0.0049722795,-0.043273956,-0.0053869756,0.0001583891,0.0029178385
0.007863998,-0.010243723,-0.045326278,-0.0060965577,0.0006403076,0.003590572
-0.004102826,-0.009533646,-0.039101154,-0.0064490987,0.00044965878,0.004020158
0.0032482147,-0.0035967282,-0.042672474,-0.0049946792,-0.00014784749,0.0026008303
0.006667137,-0.010422358,-0.03568109,-0.0064554475,0.000559599,0.0034664138
-0.0035899878,-0.010172972,-0.047365785,-0.0058877114,0.00038573972,0.003310847
0.0035899878,-0.0035200245,-0.04180841,-0.0053480417,-1.2973702e-05,0.0029250414
0.009744644,-0.010461664,-0.04975975,-0.005818148,0.0003982538,0.0031923237
0.0039322376,-0.01285542,-0.010738676,-0.007218153,0.0010391346,0.00715881
-0.0025647879,-0.009068573,-0.039609876,-0.00618821,0.00040199707,0.0039263344
-0.0030771494,-0.010037016,-0.04520534,-0.0058940426,0.00020437193,0.0032117267
0.003248334,-0.009380678,-0.045115314,-0.0057356693,0.00036675163,0.0031015254
0.0015385151,-0.01024116,-0.0477639,-0.0053859996,0.00020056282,0.0027345424
-0.00051283836,-0.010324916,-0.03969182,-0.0058440734,0.00023874134,0.0029558605
0.0076932907,-0.010924395,-0.04257401,-0.0056542475,0.00019018876,0.0028128854
0.008376837,-0.0120163355,-0.017824745,-0.0063907383,4.091495e-05,0.0067787576
-0.002564311,-0.0072868285,-0.014351586,-0.0067579257,0.00017149269,0.008014111
-0.0006840229,-0.008451847,-0.043536544,-0.0053491187,-9.756345e-05,0.0027346434
-0.0035899878,-0.0095886495,-0.052320115,-0.005016366,-0.0001010336,0.0023744903
0.0017096996,-0.0043537472,-0.040858164,-0.0050530834,-1.1480646e-05,0.0026581078
