horizons,MAE,MAPE,DirAcc,PinballLoss,time_sec,n_features
"(1,)",0.01355011761188507,1.1345484256744385,0.48629188590418165,0.008877351724853119,260.2,18
"(4,)",0.029127340763807297,1.1436620950698853,0.522450110864745,0.010863328663011393,280.8,18
"(2,)",0.01957007497549057,1.181321144104004,0.5083102493074793,0.0069886199198663235,284.8,18
"(8,)",0.04393259435892105,1.0574496984481812,0.4894561598224195,0.016592578031122684,293.9,18
