experiment,lags,MAE,MAPE,DirAcc,MomentumDirAcc,PinballLoss,time_sec,n_features
E5_no_lags,(),0.029127340763807297,1.1436620950698853,0.522450110864745,0.7518713612420294,0.010863328663011393,307.1,18
E5_lag1,"(1,)",0.029129091650247574,1.1479671001434326,0.5400609925145551,0.7520798668885191,0.011975899338722229,284.7,19
E5_lag124,"(1, 2, 4)",0.02922639437019825,1.0787712335586548,0.519700332963374,0.7518734388009992,0.010322761256247759,285.2,21
E5_lag1248,"(1, 2, 4, 8)",0.029180120676755905,1.1367963552474976,0.5422222222222223,0.7521533759377604,0.010417694070686897,281.9,22
