strategy,MAE,DirAcc,coverage,n_samples
TFT_standalone,0.029133424162864685,0.5225949542556141,1.0,3607
MR_standalone,0.05457127094268799,0.24202938730246742,1.0,3607
"Avg(TFT=0.3,MR=0.7)",0.04644213989377022,0.24674244524535624,1.0,3607
"Avg(TFT=0.5,MR=0.5)",0.04118780046701431,0.24812863875797062,1.0,3607
"Avg(TFT=0.7,MR=0.3)",0.036109138280153275,0.2570002772387025,1.0,3607
Agreement(TFT signal),0.03019801527261734,0.2647887323943662,0.49209869697809816,1775
Agreement(avg pred),0.0413161925971508,0.2647887323943662,0.49209869697809816,1775
"Ens(agree=TFT,else=0)",0.02976355142891407,0.1325200998059329,1.0,3607
