split,avg_trade,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe,time_sec,avg_trade_1c,total_pts_1c,pf_1c,sharpe_1c,mdd_1c,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,capital,point_value_mult,exitday,sdel_day,exit_week,direction,sl_type,sl_pts,sl_atr_mult,trail_atr,trail_pts,be_target,be_offset,time_bars,time_target,tf1_minutes,tf2_minutes,use_legacy_bug
train,11635.282608695652,230,2676115.0,0.3652173913043478,1.7887966798864017,570470.0,2.3481384417062716,12.18,884.9565217391304,203540.0,1.9800654853620956,2.3582349381175125,23310.0,190,125,80,135,170,670,1.0063788152123019,0.9529080697174487,29,5000000,300.0,0,1,0,short,time,0.0,0.0,0.0,0.0,0.0,0.0,45,1200.0,150,90,False
test,1774.142857142857,70,124190.0,0.2571428571428571,1.085152628836291,832410.0,0.1557514187990961,3.38,614.1428571428571,42990.0,1.5594014313597917,0.6853672170804066,45790.0,190,125,80,135,170,670,1.0063788152123019,0.9529080697174487,29,5000000,300.0,0,1,0,short,time,0.0,0.0,0.0,0.0,0.0,0.0,45,1200.0,150,90,False
