experiment,seq_len,lr_g,lr_d,generator,adv_weight,l1_weight,cls_weight,q_weight,MAE,MAPE,DirAcc,PinballLoss,time_sec,n_features,train_samples,test_samples
lw_a1.0_l0.4_c0.2_q0.3,12,0.002,0.0002,lstm,1.0,0.4,0.2,0.3,0.016099417582154274,2.8730945587158203,0.5120465245084465,0.0048161667461196584,308.4,28,14114,3624
lw_a1.0_l0.4_c0.2_q1.0,12,0.002,0.0002,lstm,1.0,0.4,0.2,1.0,0.018772004172205925,4.204937934875488,0.47659927997784546,0.004805806170528133,305.7,28,14114,3624
lw_a1.0_l1.0_c0.2_q0.3,12,0.002,0.0002,lstm,1.0,1.0,0.2,0.3,0.0142924590036273,1.7545857429504395,0.5101080033231792,0.004996394195283453,318.2,28,14114,3624
lw_a0.5_l0.4_c0.5_q0.3,12,0.002,0.0002,lstm,0.5,0.4,0.5,0.3,0.014369389042258263,1.888799786567688,0.5059540293547494,0.004902716803674896,321.8,28,14114,3624
lw_a0.3_l0.8_c0.1_q0.5,12,0.002,0.0002,lstm,0.3,0.8,0.1,0.5,0.014129984192550182,1.4400582313537598,0.49903073940736636,0.00502330429541568,308.7,28,14114,3624
lw_a2.0_l0.2_c0.1_q0.1,12,0.002,0.0002,lstm,2.0,0.2,0.1,0.1,0.03900370001792908,11.266790390014648,0.5156466352810856,0.007415805322428544,290.0,28,14114,3624
