experiment,seq_len,lr_g,lr_d,generator,MAE,MAPE,DirAcc,PinballLoss,time_sec,n_features,train_samples,test_samples
seq_12,12,0.001,0.0001,tst,0.004104579333215952,1.2887110710144043,0.48850656429214656,0.0014666105853393674,796.5,74,164386,42211
seq_24,24,0.001,0.0001,tst,0.004013647325336933,1.0641251802444458,0.4878158630825392,0.0014807441039010882,1292.8,74,164386,42211
seq_48,48,0.001,0.0001,tst,0.004037668462842703,1.1018750667572021,0.480551207248233,0.0014404671965166926,739.8,74,164386,42211
seq_78,78,0.001,0.0001,tst,0.00402816291898489,1.0736536979675293,0.4836703693154847,0.0014279046251128118,855.4,74,164386,42211
seq_156,156,0.001,0.0001,tst,0.00462372088804841,2.113675355911255,0.48052503923526896,0.01800511994709571,717.8,74,164386,42211
