year,split,trades,net_pnl,pf,win_rate,avg_1c,total_1c,pf_1c,max_dd
2007,TR,11,-130758.013,0.14939953466451553,18.181818181818183,-1377.7272727272727,-15155.0,0.16799341202305793,112663.68100000004
2008,TR,16,841311.0185,6.230635884515476,50.0,6803.125,108850.0,5.9771376314586195,86056.17350000003
2009,TR,12,173810.19000000006,2.51519938111657,50.0,877.5,10530.0,2.113107822410148,50782.340000000026
2010,TR,12,259607.438,2.5777534267521762,33.33333333333333,1321.6666666666667,15860.0,2.3992059991177768,67929.24600000001
2011,TR,18,303088.3425,1.9943213096957368,33.33333333333333,1910.5555555555557,34390.0,2.345724907063197,98728.15399999998
2012,TR,25,270079.3074999999,1.7213584321466107,36.0,446.6,11165.0,1.4842767295597483,253053.989
2013,TR,18,221064.61899999995,1.9668831803792928,50.0,558.3333333333334,10050.0,2.106828193832599,170624.268
2014,TR,23,689999.837,3.370008040580483,47.82608695652174,1435.2173913043478,33010.0,3.150488599348534,82798.41199999995
2015,TR,31,-9508.149999999965,0.9810727178093803,29.03225806451613,-117.74193548387096,-3650.0,0.866398243045388,124402.057
2016,TR,18,46164.649000000034,1.1738610219105459,33.33333333333333,110.55555555555556,1990.0,1.181073703366697,246876.925
2017,TR,19,-184513.26100000006,0.6194036857322083,21.052631578947366,-257.36842105263156,-4890.0,0.7009174311926606,325074.30000000005
2018,TR,27,93410.94899999996,1.2263840090320024,33.33333333333333,51.48148148148148,1390.0,1.0727748691099477,152645.156
2019,TE,13,-47527.842000000004,0.8383791667142461,15.384615384615385,-117.6923076923077,-1530.0,0.8460764587525151,136457.25199999998
2020,TE,24,343622.86400000006,1.754918200443884,33.33333333333333,893.3333333333334,21440.0,1.8743882544861337,235084.865
2021,TE,29,-579062.3649999999,0.13942458595451013,20.689655172413794,-1017.5862068965517,-29510.0,0.1644960362400906,560348.6050000001
2022,TE,4,368061.062,6.57098018408702,50.0,13147.5,52590.0,8.438472418670438,21618.198000000004
