entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction,pnl_1c,period
2008-02-27 17:44:00,2008-03-11 17:55:00,24160.0,24099.0,806,49166.0,expiration,short,61.0,train
2008-06-06 23:34:00,2008-06-09 16:17:00,23572.0,23556.0,588,9408.0,expiration,short,16.0,train
2008-06-20 20:34:00,2008-06-23 23:45:00,23650.0,23726.0,739,-56164.0,signal_reverse,short,-76.0,train
2008-06-24 23:00:00,2008-07-24 21:04:00,23677.0,23440.0,882,209034.0,signal_reverse,short,237.0,train
2008-08-08 16:31:00,2008-09-08 11:39:00,24201.0,25340.0,675,768825.0,expiration,long,1139.0,train
2008-09-18 17:29:00,2008-09-24 17:00:00,25450.0,25100.0,350,-122500.0,signal_reverse,long,-350.0,train
2008-09-29 15:41:00,2008-10-01 16:22:00,25660.0,25870.0,408,85680.0,signal_reverse,long,210.0,train
2008-10-02 17:26:00,2008-10-30 15:05:00,26146.0,27081.0,558,521730.0,signal_reverse,long,935.0,train
2008-10-30 17:24:00,2008-11-05 16:03:00,27536.0,27374.0,202,-32724.0,signal_reverse,long,-162.0,train
2008-11-11 20:05:00,2008-11-12 15:59:00,28600.0,28335.0,329,-87185.0,signal_reverse,long,-265.0,train
2008-11-18 15:37:00,2008-11-21 16:29:00,28561.0,28288.0,287,-78351.0,signal_reverse,long,-273.0,train
2008-11-21 19:19:00,2008-11-24 16:46:00,28370.0,28298.0,353,-25416.0,signal_reverse,long,-72.0,train
2008-11-26 17:18:00,2008-11-28 17:36:00,27845.0,28400.0,475,-263625.0,signal_reverse,short,-555.0,train
2008-12-18 15:52:00,2011-01-12 17:02:00,30040.0,30389.0,377,131573.0,signal_reverse,long,349.0,train
2011-01-24 16:47:00,2011-01-24 17:32:00,29950.0,30063.0,1183,-133679.0,signal_reverse,short,-113.0,train
2011-01-25 16:47:00,2011-01-25 17:32:00,29931.0,29932.0,1098,-1098.0,signal_reverse,short,-1.0,train
2011-01-26 16:47:00,2011-01-28 19:18:00,29866.0,29886.0,1261,-25220.0,signal_reverse,short,-20.0,train
2011-02-01 16:47:00,2011-02-04 19:18:00,29712.0,29519.0,1313,253409.0,signal_reverse,short,193.0,train
2011-02-07 16:48:00,2011-02-07 18:18:00,29457.0,29426.0,1357,42067.0,signal_reverse,short,31.0,train
2011-02-15 19:27:00,2011-02-15 20:19:00,29366.0,29381.0,1576,-23640.0,signal_reverse,short,-15.0,train
2011-02-16 17:32:00,2011-02-17 19:20:00,29353.0,29349.0,1582,6328.0,signal_reverse,short,4.0,train
2011-02-18 16:48:00,2011-02-22 16:48:00,29214.0,29321.0,1362,-145734.0,signal_reverse,short,-107.0,train
2011-02-24 16:47:00,2011-02-25 16:47:00,29068.0,28980.0,1088,95744.0,signal_reverse,short,88.0,train
2011-03-18 16:47:00,2011-03-23 17:32:00,28678.0,28507.0,1078,184338.0,signal_reverse,short,171.0,train
2011-03-24 19:18:00,2011-03-24 20:15:00,28444.0,28443.0,1175,1175.0,signal_reverse,short,1.0,train
