Id,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,Contracts,Pnl1c,PnlNet,ExitReason,MlScore
1,Long,2006-02-01 15:23:00,2006-02-03 17:43:00,128500,126240,10,-2260,-22600,signal_reverse,0,000
2,Long,2006-02-06 15:21:00,2006-02-15 15:12:00,129150,133650,12,4500,54000,signal_reverse,0,000
3,Long,2006-02-15 16:36:00,2006-03-07 18:42:00,134445,138300,12,3855,46260,signal_reverse,0,000
4,Long,2006-03-23 15:23:00,2006-03-23 16:33:00,146700,145805,13,-895,-11635,signal_reverse,0,000
5,Long,2006-03-30 14:48:00,2006-05-03 15:26:00,145000,173340,14,28340,396760,signal_reverse,0,000
6,Short,2006-05-17 18:05:00,2006-06-08 11:14:00,156360,134600,9,21760,195840,expiration,0,000
7,Long,2006-06-28 17:15:00,2006-07-17 15:00:00,142250,144165,10,1915,19150,signal_reverse,0,000
8,Long,2006-07-31 14:49:00,2006-08-18 18:14:00,157330,158105,12,775,9300,signal_reverse,0,000
9,Long,2006-09-05 16:45:00,2006-09-06 15:09:00,164805,163480,17,-1325,-22525,signal_reverse,0,000
10,Short,2006-09-07 17:54:00,2006-09-08 11:17:00,158700,157500,16,1200,19200,expiration,0,000
11,Long,2006-10-09 18:44:00,2006-10-30 14:54:00,160690,160360,13,-330,-4290,signal_reverse,0,000
12,Long,2006-11-01 17:02:00,2006-11-02 16:45:00,164300,163500,17,-800,-13600,signal_reverse,0,000
13,Long,2006-11-03 17:23:00,2006-11-03 18:44:00,165000,165380,17,380,6460,signal_reverse,0,000
14,Long,2006-11-07 14:47:00,2006-12-07 18:43:00,167920,184300,16,16380,262080,signal_reverse,0,000
15,Long,2006-12-26 16:45:00,2006-12-26 18:44:00,186085,185415,20,-670,-13400,signal_reverse,0,000
16,Long,2006-12-27 16:20:00,2007-01-16 14:43:00,187500,187610,22,110,2420,signal_reverse,0,000
17,Long,2007-01-16 18:44:00,2007-01-17 17:15:00,188500,180305,9,-8195,-73755,close_opposing,0,000
18,Long,2007-01-26 17:35:00,2007-01-26 18:35:00,187000,186415,12,-585,-7020,signal_reverse,0,000
19,Short,2007-01-30 17:30:00,2007-02-01 14:36:00,181355,188360,15,-7005,-105075,close_opposing,0,000
20,Long,2007-02-02 14:50:00,2007-02-20 14:44:00,189935,189430,12,-505,-6060,signal_reverse,0,000
21,Long,2007-02-20 15:50:00,2007-02-20 17:01:00,190360,189335,14,-1025,-14350,signal_reverse,0,000
22,Long,2007-02-22 16:50:00,2007-02-27 17:41:00,192620,189700,16,-2920,-46720,signal_reverse,0,000
23,Short,2007-02-28 17:16:00,2007-03-09 11:14:00,183745,179300,9,4445,40005,expiration,0,000
24,Long,2007-03-23 14:53:00,2007-04-20 15:46:00,188605,193150,9,4545,40905,signal_reverse,0,000
25,Long,2007-04-20 17:48:00,2007-04-23 15:45:00,194590,194200,13,-390,-5070,signal_reverse,0,000
26,Long,2007-04-23 17:47:00,2007-04-24 14:35:00,194950,193140,13,-1810,-23530,signal_reverse,0,000
27,Short,2007-04-27 17:59:00,2007-04-28 17:12:00,188930,191250,12,-2320,-27840,signal_reverse,0,000
28,Short,2007-05-07 17:33:00,2007-06-08 11:55:00,191420,180730,25,10690,267250,expiration,0,000
29,Long,2007-06-18 14:31:00,2007-07-16 14:31:00,192500,208490,12,15990,191880,signal_reverse,0,000
30,Short,2007-08-09 17:14:00,2007-09-10 11:14:00,193550,190040,16,3510,56160,expiration,0,000
31,Long,2007-09-18 14:29:00,2007-10-03 14:29:00,195350,214000,18,18650,335700,signal_reverse,0,000
32,Long,2007-10-25 14:34:00,2007-10-25 17:59:00,217115,216050,15,-1065,-15975,signal_reverse,0,000
33,Long,2007-10-26 14:34:00,2007-11-14 14:34:00,219230,224730,14,5500,77000,signal_reverse,0,000
34,Long,2007-11-14 16:34:00,2007-11-15 14:34:00,225680,224485,11,-1195,-13145,signal_reverse,0,000
35,Short,2007-11-19 17:19:00,2007-12-05 14:34:00,217700,225190,16,-7490,-119840,close_opposing,0,000
36,Long,2007-12-06 15:07:00,2007-12-10 11:29:00,228740,229300,14,560,7840,expiration,0,000
37,Long,2007-12-18 14:34:00,2007-12-25 17:34:00,233845,233800,9,-45,-405,signal_reverse,0,000
38,Long,2008-01-14 14:34:00,2008-01-15 17:59:00,236450,235380,16,-1070,-17120,signal_reverse,0,000
39,Short,2008-01-16 17:19:00,2008-03-11 11:16:00,225080,201800,7,23280,162960,expiration,0,000
40,Short,2008-03-20 17:17:00,2008-03-26 17:17:00,196100,199200,8,-3100,-24800,signal_reverse,0,000
41,Long,2008-04-02 17:32:00,2008-04-03 16:32:00,206480,204670,11,-1810,-19910,signal_reverse,0,000
42,Long,2008-04-04 14:32:00,2008-04-04 16:32:00,205400,204795,12,-605,-7260,signal_reverse,0,000
43,Long,2008-04-07 14:32:00,2008-04-14 14:32:00,208375,204975,13,-3400,-44200,signal_reverse,0,000
44,Short,2008-04-14 17:17:00,2008-04-15 14:32:00,206395,207125,12,-730,-8760,close_opposing,0,000
45,Long,2008-04-16 14:32:00,2008-04-24 17:59:00,209300,209800,12,500,6000,signal_reverse,0,000
46,Long,2008-04-28 14:32:00,2008-04-29 17:32:00,213520,211290,13,-2230,-28990,signal_reverse,0,000
47,Long,2008-05-04 14:35:00,2008-05-04 15:35:00,213045,213395,16,350,5600,signal_reverse,0,000
48,Long,2008-05-07 16:32:00,2008-05-29 14:32:00,218450,242870,18,24420,439560,signal_reverse,0,000
49,Long,2008-05-29 16:32:00,2008-05-29 17:32:00,244330,243680,7,-650,-4550,signal_reverse,0,000
50,Short,2008-06-07 18:19:00,2008-06-09 11:14:00,234400,236315,12,-1915,-22980,expiration,0,000
51,Long,2008-06-18 14:32:00,2008-06-18 15:32:00,242085,241085,18,-1000,-18000,signal_reverse,0,000
52,Long,2008-06-19 14:32:00,2008-06-19 17:32:00,241475,241065,17,-410,-6970,signal_reverse,0,000
53,Short,2008-06-20 18:17:00,2008-06-20 21:26:00,238300,238325,21,-25,-525,signal_reverse,0,000
54,Short,2008-06-23 17:17:00,2008-09-08 11:14:00,234130,153300,18,80830,1454940,expiration,0,000
55,Long,2008-09-25 18:47:00,2008-11-11 14:32:00,139855,73750,5,-66105,-330525,signal_reverse,0,000
56,Short,2008-11-11 17:17:00,2008-11-19 17:17:00,72525,61080,8,11445,91560,signal_reverse,0,000
57,Short,2008-11-19 19:02:00,2008-11-19 21:17:00,60555,60720,8,-165,-1320,signal_reverse,0,000
58,Short,2008-11-20 17:17:00,2008-11-25 14:32:00,55500,68510,9,-13010,-117090,close_opposing,0,000
59,Long,2008-11-26 14:32:00,2008-11-26 16:32:00,66250,65390,7,-860,-6020,signal_reverse,0,000
60,Long,2008-11-27 14:32:00,2008-12-03 17:17:00,69110,58925,9,-10185,-91665,close_opposing,0,000
61,Short,2008-12-04 17:17:00,2008-12-05 22:02:00,59695,60240,13,-545,-7085,signal_reverse,0,000
62,Long,2008-12-18 14:32:00,2008-12-18 19:47:00,66935,65530,18,-1405,-25290,signal_reverse,0,000
63,Short,2008-12-18 19:47:00,2009-02-24 20:32:00,65530,51380,18,14150,254700,signal_reverse,0,000
64,Short,2009-03-03 18:17:00,2009-03-03 20:32:00,52810,53290,20,-480,-9600,signal_reverse,0,000
65,Long,2009-03-04 14:32:00,2009-03-10 11:42:00,56120,59900,18,3780,68040,expiration,0,000
66,Long,2009-03-18 14:32:00,2009-03-24 14:32:00,64305,70990,13,6685,86905,signal_reverse,0,000
67,Long,2009-04-02 19:47:00,2009-04-03 17:32:00,73130,72250,15,-880,-13200,signal_reverse,0,000
