Id,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,Contracts,Pnl1c,PnlNet,ExitReason,MlScore
390,Long,2017-10-13 13:59:00,2017-10-17 17:04:00,114890,114710,100,-180,-18000,signal_reverse,0,000
391,Long,2017-10-18 17:04:00,2017-10-19 13:59:00,115190,113740,100,-1450,-145000,signal_reverse,0,000
392,Short,2017-10-24 16:49:00,2017-10-26 16:49:00,112930,111770,40,1160,46400,signal_reverse,0,000
393,Short,2017-10-31 16:49:00,2017-10-31 20:04:00,111830,111770,40,60,2400,signal_reverse,0,000
394,Long,2017-11-07 13:59:00,2017-11-14 15:04:00,114140,114380,62,240,14880,signal_reverse,0,000
395,Short,2017-11-15 16:49:00,2017-11-22 18:04:00,112230,115520,40,-3290,-131600,close_opposing,0,000
396,Long,2017-11-23 13:59:00,2017-11-27 18:04:00,115730,115560,82,-170,-13940,signal_reverse,0,000
397,Long,2017-11-28 17:04:00,2017-11-28 17:34:00,115660,115560,88,-100,-8800,close_opposing,0,000
398,Short,2017-11-29 16:49:00,2017-12-06 19:19:00,114320,112050,40,2270,90800,signal_reverse,0,000
399,Long,2017-12-18 14:05:00,2017-12-18 17:05:00,115360,114310,86,-1050,-90300,signal_reverse,0,000
400,Short,2017-12-19 16:49:00,2017-12-25 13:59:00,114300,115050,40,-750,-30000,close_opposing,0,000
401,Long,2017-12-27 13:59:00,2017-12-28 15:04:00,115570,115360,100,-210,-21000,signal_reverse,0,000
402,Long,2017-12-29 18:44:00,2018-01-18 13:59:00,116370,127800,100,11430,1143000,signal_reverse,0,000
403,Long,2018-01-30 15:04:00,2018-01-30 17:04:00,129420,128930,58,-490,-28420,signal_reverse,0,000
404,Long,2018-02-01 13:59:00,2018-02-02 13:59:00,129750,128560,52,-1190,-61880,signal_reverse,0,000
405,Short,2018-02-06 16:49:00,2018-02-15 13:59:00,123280,126890,38,-3610,-137180,close_opposing,0,000
406,Long,2018-02-16 13:59:00,2018-02-19 17:04:00,127690,126100,40,-1590,-63600,signal_reverse,0,000
407,Long,2018-02-19 18:04:00,2018-02-20 13:59:00,126260,126000,52,-260,-13520,signal_reverse,0,000
408,Long,2018-02-20 15:04:00,2018-03-01 13:59:00,126440,127530,54,1090,58860,signal_reverse,0,000
409,Short,2018-03-19 16:49:00,2018-03-22 19:24:00,124480,125670,40,-1190,-47600,signal_reverse,0,000
