Id,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,Contracts,Pnl1c,PnlNet,ExitReason,MlScore
1,Long,2016-02-01 16:03:00,2016-02-01 19:23:00,73160,72700,50,-460,-23000,5,end_of_day,0,51413655
2,Long,2016-02-05 16:03:00,2016-02-05 17:33:00,73520,72540,50,-980,-49000,5,signal_reverse,0,51689786
3,Long,2016-02-15 16:03:00,2016-02-15 17:33:00,71230,70680,50,-550,-27500,5,signal_reverse,0,5019356
4,Long,2016-02-16 16:04:00,2016-02-16 19:19:00,71230,70590,50,-640,-32000,5,end_of_day,0,5072407
6,Long,2016-02-18 16:04:00,2016-02-18 19:24:00,75000,73790,50,-1210,-60500,5,end_of_day,0,51413655
8,Long,2016-02-20 16:04:00,2016-02-20 19:19:00,73470,72920,50,-550,-27500,5,end_of_day,0,51413655
10,Long,2016-02-25 16:04:00,2016-02-25 19:19:00,74680,74340,50,-340,-17000,5,end_of_day,0,5284969
22,Long,2016-04-08 16:04:00,2016-04-08 19:19:00,87550,87490,50,-60,-3000,5,end_of_day,0,5019356
28,Long,2016-04-19 17:34:00,2016-04-19 19:19:00,92130,91920,50,-210,-10500,5,end_of_day,0,5019356
29,Long,2016-04-20 16:04:00,2016-04-20 19:24:00,92650,93800,50,1150,57499,5,end_of_day,0,51689786
30,Long,2016-04-21 16:04:00,2016-04-21 19:24:00,92840,92480,50,-360,-18000,5,end_of_day,0,50231093
32,Long,2016-04-25 15:29:00,2016-04-25 18:29:00,92650,92380,50,-270,-13500,5,end_of_day,0,51413655
33,Long,2016-04-28 16:04:00,2016-04-28 19:19:00,94340,95030,50,690,34499,5,end_of_day,0,5019356
35,Long,2016-05-12 16:04:00,2016-05-12 17:34:00,92530,91690,50,-840,-42000,5,signal_reverse,0,5019356
36,Long,2016-05-16 16:04:00,2016-05-16 19:19:00,93460,92210,50,-1250,-62500,5,end_of_day,0,5019356
37,Short,2016-05-19 16:04:00,2016-05-19 19:24:00,89370,88860,50,510,25499,5,end_of_day,0,5019356
38,Short,2016-05-20 16:04:00,2016-05-20 19:19:00,88460,88530,50,-70,-3500,5,end_of_day,0,5019356
39,Short,2016-05-23 16:04:00,2016-05-23 19:19:00,87180,87640,50,-460,-23000,5,end_of_day,0,5019356
41,Long,2016-05-26 16:04:00,2016-05-26 19:19:00,92390,91690,50,-700,-35000,5,end_of_day,0,51689786
42,Short,2016-06-01 16:04:00,2016-06-01 19:19:00,88520,88920,50,-400,-20000,5,end_of_day,0,5050748
43,Short,2016-06-02 16:04:00,2016-06-02 19:19:00,87530,88220,50,-690,-34500,5,end_of_day,0,5342344
44,Short,2016-06-03 17:34:00,2016-06-03 19:19:00,89260,90600,50,-1340,-67000,5,end_of_day,0,5019356
45,Long,2016-06-06 16:04:00,2016-06-06 19:19:00,91940,91700,50,-240,-12000,5,end_of_day,0,5019356
46,Long,2016-06-07 16:04:00,2016-06-07 19:19:00,94140,94510,50,370,18499,5,end_of_day,0,5019356
50,Short,2016-06-24 16:04:00,2016-06-24 19:19:00,87750,88560,50,-810,-40500,5,end_of_day,0,51413655
51,Short,2016-06-27 16:04:00,2016-06-27 19:24:00,87160,86380,50,780,38999,5,end_of_day,0,51391494
54,Long,2016-07-01 16:24:00,2016-07-01 19:39:00,91280,91130,50,-150,-7500,4995,end_of_day,0,5019356
55,Long,2016-07-04 16:19:00,2016-07-04 19:34:00,91950,92170,50,220,10999,5,end_of_day,0,51413655
57,Long,2016-07-11 16:04:00,2016-07-11 19:19:00,92340,92700,50,360,17999,5,end_of_day,0,5019356
58,Long,2016-07-12 16:04:00,2016-07-12 19:19:00,94200,94660,50,460,22999,5,end_of_day,0,5019356
62,Long,2016-07-18 16:04:00,2016-07-18 19:19:00,95040,96130,50,1090,54499,5,end_of_day,0,51413655
63,Long,2016-07-19 16:04:00,2016-07-19 19:19:00,95860,94570,50,-1290,-64500,5,end_of_day,0,51413655
64,Short,2016-07-29 16:04:00,2016-07-29 19:19:00,92380,92770,50,-390,-19500,5,end_of_day,0,5019356
65,Short,2016-08-02 16:04:00,2016-08-02 19:19:00,90900,90150,50,750,37499,5,end_of_day,0,5019356
66,Short,2016-08-03 16:04:00,2016-08-03 19:19:00,89840,91300,50,-1460,-73000,5,end_of_day,0,51689786
68,Long,2016-08-08 16:04:00,2016-08-08 19:19:00,94440,95000,50,560,27999,5,end_of_day,0,51689786
69,Long,2016-08-09 16:04:00,2016-08-09 19:19:00,94390,95260,50,870,43499,5,end_of_day,0,51413655
71,Long,2016-08-16 16:04:00,2016-08-16 19:19:00,97270,97450,50,180,8999,5,end_of_day,0,51413655
73,Long,2016-08-18 16:04:00,2016-08-18 19:24:00,96580,97570,50,990,49499,5,end_of_day,0,51413655
74,Long,2016-08-26 17:34:00,2016-08-26 19:19:00,97150,96520,50,-630,-31500,5,end_of_day,0,5019356
75,Long,2016-09-05 16:04:00,2016-09-05 19:19:00,97730,97820,50,90,4499,5,end_of_day,0,5019356
78,Short,2016-09-19 17:34:00,2016-09-19 19:19:00,96790,96250,50,540,26999,5,end_of_day,0,5019356
79,Short,2016-09-20 16:04:00,2016-09-20 19:19:00,95560,96510,50,-950,-47500,5,end_of_day,0,5019356
83,Long,2016-09-29 16:04:00,2016-09-29 19:19:00,99130,99650,50,520,25999,5,end_of_day,0,500111
84,Long,2016-09-30 16:04:00,2016-09-30 19:19:00,98650,98810,50,160,7999,5005,end_of_day,0,5019356
86,Long,2016-10-06 17:34:00,2016-10-06 19:19:00,99640,100480,50,840,41999,5,end_of_day,0,5019356
92,Long,2016-11-01 16:04:00,2016-11-01 19:19:00,99500,99100,50,-400,-20000,5,end_of_day,0,5019356
93,Short,2016-11-02 16:04:00,2016-11-02 19:19:00,98360,96810,50,1550,77499,5,end_of_day,0,5019356
94,Short,2016-11-03 16:04:00,2016-11-03 19:19:00,97150,96580,50,570,28499,5,end_of_day,0,5019356
95,Short,2016-11-07 16:04:00,2016-11-07 19:19:00,96680,96760,50,-80,-4000,5,end_of_day,0,5019356
96,Short,2016-11-08 16:04:00,2016-11-08 19:19:00,97140,97410,50,-270,-13500,5,end_of_day,0,5019356
100,Long,2016-11-18 16:04:00,2016-11-18 19:19:00,99400,99250,50,-150,-7500,4995,end_of_day,0,5019356
106,Long,2016-11-30 17:34:00,2016-11-30 19:19:00,103090,103690,50,600,29999,5,end_of_day,0,5019356
