year,trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor
2016,280,15.8146,19.8433,0.056481,0.5571,1.154
2017,211,-1.7909,-4.559,-0.008488,0.4834,0.973
