entry_time,exit_time,entry_price,exit_price,direction,pnl_pct,pnl_pts,exit_reason,signal_strength
2021-01-14 13:00:00,2021-01-14 17:00:00,285.99,285.02,long,-0.37910530426876893,-1.08420322265625,hold_expired,1.0
2021-01-14 20:00:00,2021-01-15 10:00:00,284.77,284.13,long,-0.2646922656256447,-0.7537641357421875,hold_expired,1.0
2021-01-19 22:00:00,2021-01-20 12:00:00,277.9,279.37,long,0.48886190954826847,1.358547216796875,hold_expired,1.0
2021-01-20 12:00:00,2021-01-20 16:00:00,279.37,280.95,long,0.5254512345762626,1.4679530883789063,hold_expired,1.0
2021-01-20 16:00:00,2021-01-20 20:00:00,280.95,278.98,long,-0.7410525506263734,-2.0819872314453125,hold_expired,1.0
2021-01-20 22:00:00,2021-01-21 12:00:00,279.6,274.94,long,-1.7063346086464506,-4.770911669921875,hold_expired,1.0
2021-01-21 15:00:00,2021-01-21 19:00:00,275.04,275.16,long,0.0036195151384558616,0.009955114746093743,hold_expired,1.0
2021-01-21 21:00:00,2021-01-22 11:00:00,274.94,268.89,long,-2.2400355501921694,-6.158753796386719,hold_expired,1.0
2021-01-22 17:00:00,2021-01-22 21:00:00,268.41,268.43,long,-0.03255429317090037,-0.08737897949218751,hold_expired,1.0
2021-01-22 22:00:00,2021-01-25 12:00:00,268.51,268.85,long,0.08659801585172805,0.23252434082031248,hold_expired,1.0
2021-01-25 12:00:00,2021-01-25 16:00:00,268.85,262.89,long,-2.256402944171506,-6.066339453125,hold_expired,1.0
2021-01-25 20:00:00,2021-01-26 10:00:00,264.45,264.56,long,0.0015819056215811247,0.004183349609374998,hold_expired,1.0
2021-01-26 11:00:00,2021-01-26 15:00:00,267.55,268.18,long,0.19542474699095871,0.52285888671875,hold_expired,1.0
2021-01-26 15:00:00,2021-01-26 19:00:00,268.18,267.77,long,-0.1928531831116187,-0.51719365234375,hold_expired,1.0
2021-01-26 21:00:00,2021-01-27 11:00:00,268.47,271.36,long,1.0362491626620896,2.7820181396484376,hold_expired,1.0
2021-01-27 11:00:00,2021-01-27 15:00:00,271.36,267.6,long,-1.4253285115797212,-3.867771240234375,hold_expired,1.0
2021-01-27 20:00:00,2021-01-28 10:00:00,267.37,262.77,long,-1.760120504315629,-4.706034106445313,hold_expired,1.0
2021-01-28 14:00:00,2021-01-28 18:00:00,263.06,264.68,long,0.575704072529423,1.514447119140625,hold_expired,1.0
2021-01-28 18:00:00,2021-01-28 22:00:00,264.68,265.89,long,0.4170726922089778,1.1039079711914062,hold_expired,1.0
2021-01-28 22:00:00,2021-01-29 12:00:00,265.89,260.86,long,-1.9313923103374344,-5.135379296875,hold_expired,1.0
2021-02-01 10:00:00,2021-02-01 14:00:00,260.86,262.05,long,0.41609311804358057,1.0854204467773438,hold_expired,1.0
2021-02-01 14:00:00,2021-02-01 18:00:00,262.05,262.24,long,0.03249168088801789,0.08514444580078125,hold_expired,1.0
2021-02-01 18:00:00,2021-02-01 22:00:00,262.24,263.73,long,0.5280761170616356,1.3848267578125,hold_expired,1.0
2021-02-01 22:00:00,2021-02-02 12:00:00,263.73,265.45,long,0.6120521528528722,1.6141652099609376,hold_expired,1.0
2021-02-02 12:00:00,2021-02-02 16:00:00,265.45,267.45,long,0.7132868367097535,1.8934199951171875,hold_expired,1.0
2021-02-02 16:00:00,2021-02-02 20:00:00,267.45,264.5,long,-1.1427938193948244,-3.0564022094726564,hold_expired,1.0
2021-02-03 10:00:00,2021-02-03 14:00:00,265.4,264.57,long,-0.35266789296585904,-0.93598056640625,hold_expired,1.0
2021-02-03 21:00:00,2021-02-04 11:00:00,263.38,266.86,long,1.281013140008222,3.373932470703125,hold_expired,1.0
2021-02-04 11:00:00,2021-02-04 15:00:00,266.86,266.09,long,-0.32847899723573803,-0.87657900390625,hold_expired,1.0
2021-02-04 16:00:00,2021-02-04 20:00:00,267.67,268.75,long,0.36339616493469223,0.9727025634765625,hold_expired,1.0
2021-02-04 20:00:00,2021-02-05 10:00:00,268.75,269.8,long,0.35061499364098836,0.9422777954101562,hold_expired,1.0
2021-02-05 10:00:00,2021-02-05 14:00:00,269.8,269.73,long,-0.06593136417652416,-0.1778828125,hold_expired,1.0
2021-02-05 18:00:00,2021-02-05 22:00:00,271.55,271.27,long,-0.14309069638070837,-0.3885627685546875,hold_expired,1.0
2021-02-05 23:00:00,2021-02-08 13:00:00,271.7,273.76,long,0.7180366089614522,1.9509055541992186,hold_expired,1.0
2021-02-08 13:00:00,2021-02-08 17:00:00,273.76,274.2,long,0.12069346333476319,0.33041043701171874,hold_expired,1.0
2021-02-08 17:00:00,2021-02-08 21:00:00,274.2,274.76,long,0.16418874331022887,0.45020555419921876,hold_expired,1.0
2021-02-08 21:00:00,2021-02-09 11:00:00,274.76,271.78,long,-1.1243699535372222,-3.089318994140625,hold_expired,1.0
2021-02-10 10:00:00,2021-02-10 14:00:00,269.89,268.73,long,-0.46972010534890374,-1.2677276611328125,hold_expired,1.0
2021-02-10 15:00:00,2021-02-10 19:00:00,268.6,266.67,long,-0.758394130081458,-2.0370466796875,hold_expired,1.0
2021-02-10 22:00:00,2021-02-11 12:00:00,267.1,265.63,long,-0.5902460429693432,-1.576547216796875,hold_expired,1.0
2021-02-11 18:00:00,2021-02-11 22:00:00,265.1,264.9,long,-0.11543274235601451,-0.30601220703125,hold_expired,1.0
2021-02-12 15:00:00,2021-02-12 19:00:00,260.98,265.45,long,1.6724327635152068,4.364715209960938,hold_expired,1.0
2021-02-12 19:00:00,2021-02-12 23:00:00,265.45,266.0,long,0.16714928239720422,0.44369779052734376,hold_expired,1.0
2021-02-12 23:00:00,2021-02-15 13:00:00,266.0,268.05,long,0.7305179681993069,1.9431777954101563,hold_expired,1.0
2021-02-15 13:00:00,2021-02-15 17:00:00,268.05,270.23,long,0.7731271336973963,2.0723671875,hold_expired,1.0
2021-02-15 17:00:00,2021-02-15 21:00:00,270.23,270.86,long,0.1930786185316441,0.5217563720703124,hold_expired,1.0
