trade_num,pnl_pct,equity_pct,exit_time,direction
1,-0.2791829575384944,-0.2791829575384944,2009-06-25 15:00:00,long
2,0.5368117456000309,0.25762878806153644,2009-06-26 12:00:00,long
3,-3.672161694294502,-3.4145329062329655,2009-06-26 16:00:00,long
4,-0.33485115602018595,-3.7493840622531516,2009-06-29 15:00:00,long
5,-2.8104053158060553,-6.559789378059207,2009-06-30 14:00:00,long
6,1.1604883011473863,-5.399301076911821,2009-07-01 17:00:00,long
7,-1.1231002773403935,-6.522401354252215,2009-07-02 12:00:00,long
8,-1.576121405797289,-8.098522760049503,2009-07-06 11:00:00,long
9,-0.7322671807923741,-8.830789940841877,2009-07-07 11:00:00,long
10,-1.7783241901857767,-10.609114131027653,2009-07-07 17:00:00,long
11,-0.45109570383309106,-11.060209834860744,2009-07-08 18:00:00,long
12,-1.4826702590390306,-12.542880093899775,2009-07-09 14:00:00,long
13,-4.929724526732587,-17.47260462063236,2009-07-10 11:00:00,long
14,-4.281053508100191,-21.753658128732553,2009-07-13 10:00:00,long
15,4.017163842242697,-17.736494286489858,2009-07-13 18:00:00,long
16,4.360228269774529,-13.376266016715329,2009-07-14 13:00:00,long
17,-2.1206904724270563,-15.496956489142384,2009-07-14 17:00:00,long
18,1.012703510077536,-14.484252979064848,2009-07-15 16:00:00,long
19,0.2271078643097008,-14.257145114755147,2009-07-16 11:00:00,long
20,-1.3339875052041499,-15.591132619959296,2009-07-16 18:00:00,long
21,0.11882809511877324,-15.472304524840522,2009-07-17 17:00:00,long
22,3.052159959535775,-12.420144565304748,2009-07-20 12:00:00,long
23,1.7032418079865286,-10.71690275731822,2009-07-20 16:00:00,long
24,-0.34235617928077194,-11.059258936598992,2009-07-21 11:00:00,long
25,1.578698228004067,-9.480560708594926,2009-07-21 17:00:00,long
26,-0.5626713821910893,-10.043232090786015,2009-07-22 12:00:00,long
27,-1.1326742327043124,-11.175906323490327,2009-07-23 10:00:00,long
28,-0.970872497252967,-12.146778820743295,2009-07-23 15:00:00,long
29,3.3278536813268165,-8.818925139416478,2009-07-24 12:00:00,long
30,-0.16156916165995372,-8.980494301076432,2009-07-24 16:00:00,long
31,0.7438726926134356,-8.236621608462997,2009-07-27 14:00:00,long
32,-1.3362971715844072,-9.572918780047404,2009-07-27 18:00:00,long
33,-5.051879734359807,-14.62479851440721,2009-07-28 15:00:00,long
34,-1.215355742469575,-15.840154256876785,2009-07-29 18:00:00,long
35,1.8712375378344488,-13.968916719042337,2009-07-30 14:00:00,long
36,3.5159247546536294,-10.452991964388708,2009-07-30 18:00:00,long
37,-1.004285731335644,-11.457277695724352,2009-07-31 13:00:00,long
38,-1.2515974371563958,-12.708875132880749,2009-07-31 18:00:00,long
39,4.493034229466723,-8.215840903414026,2009-08-03 14:00:00,long
40,1.7209931382479269,-6.494847765166099,2009-08-03 18:00:00,long
41,-1.9435591603242444,-8.438406925490344,2009-08-04 13:00:00,long
42,3.69059020548876,-4.747816720001584,2009-08-05 11:00:00,long
43,2.033227657766917,-2.714589062234667,2009-08-05 15:00:00,long
44,-5.988235170384665,-8.702824232619331,2009-08-07 10:00:00,long
45,3.9434406364464927,-4.759383596172839,2009-08-10 10:00:00,long
46,1.3070976626747535,-3.4522859334980853,2009-08-10 14:00:00,long
47,-0.9745882203034452,-4.42687415380153,2009-08-10 18:00:00,long
48,-0.4781408444873961,-4.905014998288927,2009-08-11 14:00:00,long
49,1.7286186340001084,-3.176396364288818,2009-08-12 18:00:00,long
50,1.9910098857779779,-1.1853864785108403,2009-08-13 13:00:00,long
51,-3.692804904861202,-4.878191383372043,2009-08-13 17:00:00,long
52,-0.22880015124322234,-5.106991534615265,2009-08-14 16:00:00,long
53,0.9934360966495097,-4.113555437965755,2009-08-18 11:00:00,long
54,0.4170328812133628,-3.6965225567523925,2009-08-18 15:00:00,long
55,-2.011436222314102,-5.7079587790664945,2009-08-19 10:00:00,long
56,3.3878887335808723,-2.3200700454856222,2009-08-20 10:00:00,long
57,-0.9535450330835407,-3.273615078569163,2009-08-20 14:00:00,long
58,0.32248237624484094,-2.951132702324322,2009-08-21 13:00:00,long
59,1.8933145381545506,-1.0578181641697715,2009-08-21 17:00:00,long
60,2.1275819798063598,1.0697638156365883,2009-08-24 12:00:00,long
61,0.8168006465293299,1.8865644621659183,2009-08-24 16:00:00,long
62,-1.6176709988394613,0.268893463326457,2009-08-25 11:00:00,long
63,0.1243431964201569,0.3932366597466139,2009-08-25 18:00:00,long
64,-2.2281483089397653,-1.8349116491931514,2009-08-26 17:00:00,long
65,0.5416388392446345,-1.293272809948517,2009-08-27 16:00:00,long
66,-0.34979451775756953,-1.6430673277060865,2009-08-28 11:00:00,long
67,-0.22545373236911334,-1.8685210600751998,2009-08-28 16:00:00,long
68,1.2663749660033703,-0.6021460940718295,2009-09-01 13:00:00,long
69,1.8942923050088156,1.2921462109369861,2009-09-01 17:00:00,long
70,-0.5705026992486447,0.7216435116883414,2009-09-02 12:00:00,long
71,0.2869320369547723,1.0085755486431136,2009-09-02 18:00:00,long
72,3.931502864053561,4.940078412696675,2009-09-03 13:00:00,long
73,3.7993555045168734,8.739433917213548,2009-09-03 18:00:00,long
74,5.260829007130749,14.000262924344296,2009-09-04 13:00:00,long
75,-2.6913232487987053,11.308939675545592,2009-09-04 17:00:00,long
76,2.854999227511315,14.163938903056906,2009-09-07 17:00:00,long
77,4.00784580423484,18.171784707291746,2009-09-08 12:00:00,long
78,1.2684103682284382,19.440195075520183,2009-09-08 16:00:00,long
79,2.336371376735774,21.776566452255956,2009-09-09 11:00:00,long
80,-2.6303249263453434,19.14624152591061,2009-09-09 15:00:00,long
81,3.7291594108649058,22.875400936775517,2009-09-11 13:00:00,long
82,1.1195843300853645,23.99498526686088,2009-09-11 17:00:00,long
83,-2.50115472189211,21.49383054496877,2009-09-14 12:00:00,long
84,2.5668383973850992,24.060668942353868,2009-09-15 10:00:00,long
85,1.188788720508322,25.24945766286219,2009-09-15 14:00:00,long
86,0.534123822881136,25.783581485743326,2009-09-15 18:00:00,long
87,2.373872039121246,28.15745352486457,2009-09-16 13:00:00,long
88,-1.3777384033930025,26.77971512147157,2009-09-16 17:00:00,long
89,-4.024536933269189,22.75517818820238,2009-09-17 14:00:00,long
90,-1.505091707906884,21.250086480295494,2009-09-18 17:00:00,long
91,2.6962971469812227,23.946383627276717,2009-09-22 14:00:00,long
92,0.25023935335671527,24.196622980633432,2009-09-22 18:00:00,long
93,4.624487826062274,28.821110806695707,2009-09-23 13:00:00,long
94,-0.8044496683379264,28.01666113835778,2009-09-23 17:00:00,long
95,-1.4643080681316054,26.552353070226175,2009-09-24 17:00:00,long
96,-0.22499345469824075,26.327359615527936,2009-09-25 17:00:00,long
97,-0.324942128517883,26.002417487010053,2009-09-28 13:00:00,long
98,0.8641917997359931,26.866609286746048,2009-09-28 18:00:00,long
99,1.1713751752544734,28.037984462000523,2009-09-29 13:00:00,long
100,-0.3351202139483424,27.70286424805218,2009-09-29 17:00:00,long
101,-0.9307654015961684,26.77209884645601,2009-10-01 14:00:00,long
102,-2.1856378343841363,24.586461012071876,2009-10-02 12:00:00,long
103,-0.15938876861218615,24.42707224345969,2009-10-02 18:00:00,long
104,0.437473604709274,24.864545848168966,2009-10-05 14:00:00,long
105,-0.7358374626843153,24.12870838548465,2009-10-05 18:00:00,long
106,0.7665605766232274,24.895268962107878,2009-10-06 14:00:00,long
107,1.710232154031346,26.605501116139223,2009-10-06 18:00:00,long
108,2.6958152013845167,29.30131631752374,2009-10-07 13:00:00,long
109,-0.9170163178388688,28.38429999968487,2009-10-07 17:00:00,long
110,1.2389948766412573,29.623294876326128,2009-10-08 14:00:00,long
111,2.0698718209973825,31.69316669732351,2009-10-08 18:00:00,long
112,-0.8242815876091913,30.868885109714316,2009-10-09 13:00:00,long
113,3.960995384399352,34.82988049411367,2009-10-12 10:00:00,long
114,0.26257542589481836,35.09245592000848,2009-10-12 14:00:00,long
115,1.8418149628434226,36.934270882851905,2009-10-12 18:00:00,long
116,-1.8306504104228867,35.10362047242902,2009-10-13 13:00:00,long
117,2.207052824709947,37.31067329713897,2009-10-14 14:00:00,long
118,-1.9594787259505035,35.351194571188465,2009-10-14 18:00:00,long
119,-2.833791580395065,32.5174029907934,2009-10-16 14:00:00,long
120,2.2557610384608022,34.773164029254204,2009-10-19 16:00:00,long
121,2.159654276243525,36.932818305497726,2009-10-20 11:00:00,long
122,1.6323949485085225,38.565213254006245,2009-10-20 15:00:00,long
123,-1.5704516066642267,36.99476164734202,2009-10-21 10:00:00,long
124,1.1521415390875855,38.146903186429604,2009-10-22 11:00:00,long
125,0.5777817635644042,38.72468494999401,2009-10-22 15:00:00,long
126,1.0023556023697104,39.72704055236372,2009-10-23 10:00:00,long
127,-1.4248867204753757,38.30215383188834,2009-10-23 14:00:00,long
128,-0.5116063965211007,37.79054743536724,2009-10-26 11:00:00,long
129,0.216213424063463,38.0067608594307,2009-10-26 16:00:00,long
130,-3.717191715357055,34.289569144073646,2009-10-27 11:00:00,long
131,0.6943910713106857,34.98396021538433,2009-10-28 10:00:00,long
132,-2.926987555196839,32.05697266018749,2009-10-28 14:00:00,long
133,-0.2630059882522072,31.793966671935284,2009-10-30 10:00:00,long
134,0.3272444222747507,32.12121109421003,2009-11-02 17:00:00,long
135,-3.180575352658806,28.940635741551226,2009-11-03 12:00:00,long
136,-2.079446488799497,26.86118925275173,2009-11-05 12:00:00,long
137,1.1032542916987371,27.964443544450464,2009-11-06 10:00:00,long
138,1.043873241691587,29.00831678614205,2009-11-06 14:00:00,long
139,-0.4535784527278506,28.5547383334142,2009-11-06 18:00:00,long
140,1.3165255188858513,29.87126385230005,2009-11-09 14:00:00,long
141,1.4601362045503645,31.331400056850413,2009-11-09 18:00:00,long
142,2.046542667997056,33.37794272484747,2009-11-10 13:00:00,long
143,-0.6787202720067517,32.69922245284072,2009-11-10 17:00:00,long
144,-0.3821013227982279,32.317121130042494,2009-11-11 16:00:00,long
145,0.30455753564857635,32.62167866569107,2009-11-12 17:00:00,long
146,-1.0129025905987907,31.60877607509228,2009-11-13 12:00:00,long
147,0.7827020702016673,32.391478145293945,2009-11-13 18:00:00,long
148,3.8252129392091034,36.21669108450305,2009-11-16 13:00:00,long
149,1.0901842928921788,37.30687537739523,2009-11-16 17:00:00,long
150,1.4727843525029842,38.77965972989821,2009-11-17 12:00:00,long
151,-1.6242141631557314,37.15544556674248,2009-11-17 16:00:00,long
152,0.326830119636045,37.48227568637852,2009-11-18 12:00:00,long
153,-0.743899630801764,36.73837605557676,2009-11-18 16:00:00,long
154,-1.567682328916466,35.17069372666029,2009-11-20 16:00:00,long
155,-0.11020425133026858,35.06048947533002,2009-11-23 13:00:00,long
156,-2.8152928223033302,32.245196653026696,2009-11-24 11:00:00,long
157,2.096995957876461,34.342192610903155,2009-11-24 18:00:00,long
158,-1.3037836183605245,33.03840899254263,2009-11-25 13:00:00,long
159,2.7033583734874815,35.74176736603011,2009-11-27 18:00:00,long
160,0.25667202422208196,35.998439390252194,2009-11-30 13:00:00,long
161,2.7947499812543524,38.79318937150655,2009-12-01 10:00:00,long
162,0.5313164672851562,39.32450583879171,2009-12-01 14:00:00,long
163,0.9683196985002063,40.29282553729192,2009-12-01 18:00:00,long
164,-0.2649636619376795,40.02786187535424,2009-12-02 13:00:00,long
165,2.3458290696432873,42.37369094499753,2009-12-03 12:00:00,long
166,-0.08111979508790015,42.29257114990963,2009-12-03 16:00:00,long
167,-0.34184878848423195,41.95072236142539,2009-12-04 12:00:00,long
168,2.6595657960951455,44.610288157520536,2009-12-04 17:00:00,long
169,-1.0726629645768915,43.53762519294364,2009-12-07 12:00:00,long
170,-1.1804513112219028,42.35717388172174,2009-12-08 10:00:00,long
171,-1.8580610382410052,40.49911284348074,2009-12-08 17:00:00,long
172,-0.20470500301446987,40.29440784046627,2009-12-09 17:00:00,long
173,0.17573031927497806,40.470138159741246,2009-12-10 15:00:00,long
174,1.6821677050008421,42.15230586474209,2009-12-11 10:00:00,long
175,-0.952629772383831,41.19967609235826,2009-12-11 14:00:00,long
176,1.040068715423902,42.23974480778216,2009-12-14 10:00:00,long
177,-1.0689520650754427,41.170792742706716,2009-12-14 14:00:00,long
178,1.0062881695870232,42.17708091229374,2009-12-15 11:00:00,long
179,0.24835503930118424,42.42543595159492,2009-12-15 15:00:00,long
180,0.7049486187704248,43.130384570365344,2009-12-16 10:00:00,long
181,4.085294298920807,47.21567886928615,2009-12-16 14:00:00,long
182,2.1402492211838005,49.35592809046995,2009-12-16 18:00:00,long
183,-1.0397996260480185,48.316128464421936,2009-12-17 13:00:00,long
184,1.0563791887874603,49.3725076532094,2009-12-18 13:00:00,long
185,-0.2958984822852067,49.076609170924186,2009-12-18 17:00:00,long
186,-1.9038878825748142,47.17272128834937,2009-12-22 12:00:00,long
187,0.4909550452750897,47.66367633362446,2009-12-22 18:00:00,long
188,-0.5313040743871577,47.1323722592373,2009-12-23 13:00:00,long
189,-0.92532436609685,46.20704789314045,2009-12-24 10:00:00,long
190,0.13331771429921,46.34036560743966,2009-12-24 18:00:00,long
191,-0.17594389141551672,46.164421716024144,2009-12-25 13:00:00,long
192,0.12087542272596309,46.28529713875011,2009-12-25 18:00:00,long
193,-0.00293526913038666,46.28236186961972,2009-12-28 13:00:00,long
194,0.6340236294068684,46.91638549902659,2009-12-30 11:00:00,long
195,0.41874100986920465,47.33512650889579,2009-12-30 15:00:00,long
196,1.823587789314949,49.15871429821074,2009-12-31 10:00:00,long
197,5.9088873740634416,55.06760167227418,2010-01-11 12:00:00,long
198,0.4860289163039803,55.55363058857816,2010-01-11 16:00:00,long
199,-2.724638328154766,52.82899226042339,2010-01-12 11:00:00,long
200,-1.374615790694406,51.454376469728984,2010-01-12 18:00:00,long
