num_trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor,max_drawdown_pct,sharpe,long_trades,short_trades,long_pnl_pct,short_pnl_pct,avg_bars_held,max_consecutive_loss,split,test_start,test_end,bars,tft_dirac,signal_coverage
116,2.9901,2.4079,0.025777,0.5172,1.061,10.8045,0.245,115,1,3.426,-0.4359,4.0,9,1,2016-05-10 14:00:00,2016-08-31 13:00:00,720,0.5561877667140825,0.4889
117,-0.0346,-1.1432,-0.000296,0.5214,0.999,8.9469,-0.004,56,61,8.2421,-8.2767,3.9,5,2,2016-08-31 14:00:00,2016-12-22 16:00:00,720,0.5035561877667141,0.4431
112,-0.8237,-0.1581,-0.007354,0.4643,0.983,9.5903,-0.071,9,103,-1.6788,0.8551,4.0,6,3,2016-12-22 17:00:00,2017-04-18 16:00:00,720,0.5163584637268848,0.4431
125,-2.1863,-5.0431,-0.01749,0.44,0.949,8.7831,-0.214,48,77,4.496,-6.6823,3.7,8,4,2017-04-18 17:00:00,2017-08-14 16:00:00,720,0.4850640113798009,0.4458
115,-2.191,-6.5927,-0.019052,0.4609,0.943,15.7696,-0.235,77,38,4.6534,-6.8444,3.9,6,5,2017-08-14 17:00:00,2017-12-05 16:00:00,720,0.5049786628733998,0.4556
