year,trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor
2016,386,-8.6807,-18.4865,-0.022489,0.5363,0.941
2017,578,-26.7452,-50.7283,-0.046272,0.4567,0.872
