year,trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor
2016,238,0.6932,-2.6082,0.002912,0.5126,1.008
2017,347,-2.9386,-7.921,-0.008469,0.4582,0.977
