num_trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor,max_drawdown_pct,sharpe,long_trades,short_trades,long_pnl_pct,short_pnl_pct,avg_bars_held,max_consecutive_loss,split,test_start,test_end,bars,tft_dirac,signal_coverage
177,9.9249,11.4592,0.056073,0.5706,1.139,10.8643,0.632,176,1,9.7139,0.211,4.0,5,1,2016-05-10 14:00:00,2016-08-31 13:00:00,720,0.5561877667140825,0.9764
198,-10.3845,-15.8607,-0.052447,0.5202,0.845,15.8162,-0.884,103,95,3.6261,-14.0106,3.6,6,2,2016-08-31 14:00:00,2016-12-22 16:00:00,720,0.5035561877667141,0.9764
185,-1.4984,-1.3425,-0.008099,0.4649,0.979,11.8258,-0.112,15,170,-2.8172,1.3188,3.8,8,3,2016-12-22 17:00:00,2017-04-18 16:00:00,720,0.5163584637268848,0.9764
217,-19.5181,-33.1532,-0.089945,0.4332,0.758,19.9546,-1.498,80,137,-3.3438,-16.1743,3.2,7,4,2017-04-18 17:00:00,2017-08-14 16:00:00,720,0.4850640113798009,0.9764
187,-13.9497,-30.3176,-0.074597,0.4652,0.793,25.1755,-1.045,121,66,5.0406,-18.9903,3.8,12,5,2017-08-14 17:00:00,2017-12-05 16:00:00,720,0.5049786628733998,0.9764
