year,trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor
2021,428,4.4576,14.976,0.010415,0.5,1.042
2022,172,1.1046,5.0777,0.006422,0.4767,1.012
2023,415,36.571,74.0128,0.088123,0.4867,1.417
2024,362,10.1719,18.7844,0.028099,0.4254,1.139
2025,78,4.4915,12.3479,0.057583,0.5,1.251
