iter	Passed	Remaining
437	1324	4723
438	1327	4719
439	1329	4713
440	1331	4708
441	1334	4703
442	1336	4697
443	1339	4693
444	1341	4688
445	1343	4681
446	1345	4676
447	1348	4670
448	1350	4664
449	1352	4658
450	1354	4653
451	1357	4647
452	1359	4641
453	1361	4636
454	1364	4632
455	1366	4627
456	1368	4621
457	1371	4616
458	1373	4610
459	1375	4603
460	1377	4598
461	1379	4592
462	1381	4586
463	1383	4579
464	1385	4573
465	1387	4566
466	1389	4560
467	1391	4556
468	1394	4551
469	1396	4547
470	1398	4541
471	1400	4534
472	1403	4529
473	1405	4524
474	1407	4520
475	1410	4514
476	1412	4508
477	1414	4502
478	1416	4497
479	1418	4491
480	1420	4485
481	1422	4480
482	1425	4476
483	1427	4470
484	1429	4464
485	1433	4465
486	1436	4461
487	1438	4456
488	1440	4451
489	1442	4446
490	1445	4441
491	1447	4435
492	1449	4430
493	1451	4424
494	1453	4419
495	1455	4414
496	1457	4408
497	1459	4402
498	1461	4396
499	1463	4389
500	1465	4383
501	1467	4377
502	1469	4372
503	1471	4366
504	1472	4360
505	1474	4354
506	1476	4348
507	1479	4344
508	1481	4340
509	1484	4337
510	1487	4333
511	1490	4330
512	1492	4326
513	1494	4321
514	1497	4316
515	1499	4312
516	1501	4308
517	1504	4303
518	1506	4298
519	1508	4294
520	1511	4291
521	1514	4288
522	1516	4283
523	1519	4279
524	1521	4275
525	1524	4270
526	1526	4266
527	1528	4261
528	1531	4257
529	1533	4252
530	1536	4250
531	1538	4245
532	1540	4241
533	1543	4237
534	1545	4233
535	1548	4230
536	1551	4226
537	1553	4221
538	1555	4216
539	1557	4211
540	1560	4207
541	1563	4205
542	1565	4201
543	1568	4197
544	1570	4192
545	1573	4189
546	1575	4184
547	1577	4179
548	1579	4175
549	1582	4171
550	1584	4167
551	1587	4164
552	1590	4160
553	1592	4155
554	1594	4150
555	1596	4146
556	1598	4140
557	1600	4134
558	1602	4130
559	1605	4127
560	1606	4121
561	1608	4116
562	1610	4110
563	1612	4105
564	1614	4099
565	1616	4094
566	1618	4089
567	1620	4084
568	1622	4079
569	1623	4073
570	1625	4068
571	1627	4063
572	1629	4058
573	1631	4053
574	1634	4050
575	1636	4045
576	1638	4040
577	1640	4035
578	1642	4029
579	1644	4025
580	1646	4020
581	1648	4015
582	1650	4010
583	1651	4005
584	1653	4000
585	1655	3995
586	1657	3990
587	1659	3985
588	1661	3981
589	1664	3977
590	1666	3973
591	1668	3968
592	1670	3963
593	1672	3959
594	1674	3954
595	1676	3949
596	1678	3945
597	1680	3940
598	1682	3935
599	1684	3930
600	1686	3926
601	1688	3922
602	1691	3918
603	1693	3915
604	1696	3911
605	1698	3906
606	1700	3902
607	1702	3897
608	1704	3893
609	1706	3889
610	1709	3885
611	1711	3881
612	1713	3877
613	1715	3873
614	1717	3868
615	1720	3864
616	1722	3861
617	1724	3857
618	1726	3852
619	1728	3848
620	1731	3843
621	1732	3839
622	1734	3834
623	1737	3830
624	1738	3825
625	1740	3820
626	1742	3815
627	1744	3810
628	1746	3807
629	1748	3802
630	1750	3798
631	1753	3795
632	1755	3790
633	1757	3786
634	1759	3782
635	1761	3778
636	1763	3774
637	1765	3769
638	1768	3766
639	1770	3761
640	1771	3756
641	1773	3752
642	1775	3747
643	1777	3742
644	1779	3738
645	1781	3733
646	1783	3730
647	1786	3726
648	1788	3722
649	1790	3718
650	1792	3714
651	1794	3709
652	1796	3704
653	1797	3700
654	1799	3695
655	1801	3691
656	1803	3686
657	1805	3681
658	1806	3676
659	1809	3673
660	1811	3668
661	1813	3665
662	1815	3661
663	1817	3656
664	1819	3652
665	1821	3648
666	1823	3643
667	1825	3639
668	1827	3635
669	1828	3630
670	1830	3626
671	1832	3621
672	1834	3617
673	1836	3612
674	1838	3608
675	1839	3603
676	1841	3599
677	1843	3595
678	1845	3591
679	1847	3587
680	1849	3582
681	1851	3578
682	1853	3574
683	1855	3570
684	1857	3565
685	1859	3561
686	1861	3557
687	1862	3552
688	1864	3548
689	1866	3543
690	1868	3539
691	1870	3536
692	1873	3533
693	1876	3530
694	1878	3526
695	1880	3522
696	1881	3517
697	1883	3513
698	1885	3508
699	1887	3504
700	1889	3500
701	1890	3496
702	1892	3491
703	1894	3487
704	1896	3483
705	1898	3479
706	1900	3475
707	1902	3471
708	1904	3467
709	1905	3462
710	1907	3458
711	1909	3453
712	1911	3449
713	1912	3445
714	1914	3441
715	1916	3437
716	1918	3433
717	1920	3428
718	1922	3424
719	1923	3420
720	1925	3416
721	1927	3411
722	1929	3407
723	1931	3404
724	1933	3400
725	1936	3397
726	1938	3393
727	1940	3389
728	1942	3386
