iter	MAE
0	0.7540156115
1	0.7329752937
2	0.7151280232
3	0.6951992618
4	0.6791542155
5	0.661364358
6	0.6448181391
7	0.6283826334
8	0.6116787078
9	0.5936252669
10	0.5767062736
11	0.5598159505
12	0.5448490156
13	0.5278904578
14	0.5134868374
15	0.4990472346
16	0.4854404283
17	0.473493539
18	0.4613415366
19	0.447589452
20	0.433705378
21	0.4224751109
22	0.4094249533
23	0.3992798022
24	0.3866660341
25	0.3775948573
26	0.367341046
27	0.3579066674
28	0.3481316816
29	0.3376681418
30	0.3275881303
31	0.3179597465
32	0.3086793602
33	0.2997927213
34	0.2919064726
35	0.2837534099
36	0.2760499564
37	0.268336276
38	0.2610550861
39	0.2544732178
40	0.2475094789
41	0.2409151748
42	0.234545673
43	0.228463615
44	0.2229223875
45	0.2175664449
46	0.2123685135
47	0.2078450502
48	0.2032430311
49	0.1986456931
50	0.1940606901
51	0.1899192874
52	0.1857001321
53	0.1817377771
54	0.1776005558
55	0.1734671218
56	0.1698659359
57	0.1663827057
58	0.1629624907
59	0.1594629408
60	0.1561190947
61	0.1531150586
62	0.1501710089
63	0.1471855225
64	0.1443344887
65	0.1415203505
66	0.1388293408
67	0.1362115358
68	0.1331327101
69	0.1306440181
70	0.1283361147
71	0.126136079
72	0.1237771295
73	0.1216347535
74	0.1194720577
75	0.1170974905
76	0.11485683
77	0.1128978963
78	0.1110998663
79	0.1091829887
80	0.1074052944
81	0.1057058541
82	0.1041118477
83	0.1025768528
84	0.1010049735
85	0.09974855139
86	0.09816629401
87	0.09663650466
88	0.09513627329
89	0.093834756
90	0.09254372199
91	0.09124894176
92	0.09005623953
93	0.0888969164
94	0.08776205548
95	0.08668271826
96	0.08557336372
97	0.08457741839
98	0.08360182591
99	0.08267372984
100	0.08176789124
101	0.08090204113
102	0.07991493339
103	0.07910553888
104	0.07828960714
105	0.07752279012
106	0.07679093442
107	0.07603166864
108	0.07524863446
109	0.07464705623
110	0.07407487945
111	0.07340876261
112	0.07283208795
113	0.07209136789
114	0.07142648742
115	0.07073667577
116	0.07024027789
117	0.06966518489
118	0.06926921214
119	0.06875174448
120	0.06815845273
121	0.06759312763
122	0.06707664932
123	0.06655263032
124	0.06616977596
125	0.06567357936
126	0.06519227009
127	0.06464087109
128	0.0638865441
129	0.06316709719
130	0.0623161184
131	0.06206696832
132	0.06173397545
133	0.06145552821
134	0.06125001338
135	0.06043858618
136	0.0601489376
137	0.05978424919
138	0.05907899358
139	0.05889054546
140	0.05811589536
141	0.05760829025
142	0.05690870724
143	0.05634503834
144	0.05579587947
145	0.0552744322
146	0.05468671613
147	0.0540771528
148	0.05350918404
149	0.05291889477
150	0.05242046082
151	0.05223193726
152	0.05176360266
153	0.05128429569
154	0.05096237395
155	0.05044078523
156	0.0499801752
157	0.04958977992
158	0.04946322406
159	0.04901854921
160	0.04859000149
161	0.04840365091
162	0.04824282237
163	0.04784393859
164	0.04747722771
165	0.04710748688
166	0.04677676619
167	0.04649085126
168	0.04618490268
169	0.04586087949
170	0.04556864217
171	0.04525389649
172	0.04494775475
173	0.04466014358
174	0.04438938617
175	0.04410059308
176	0.04385004066
177	0.04373510121
178	0.04348701267
179	0.04323799973
180	0.04299872378
181	0.04276858033
182	0.04252056338
183	0.0423133788
184	0.0420956459
185	0.04186748796
186	0.04165171056
187	0.04145680607
188	0.04127597161
189	0.04110349431
190	0.04095810062
191	0.04082743483
192	0.0406592962
193	0.04058052621
194	0.04042898168
195	0.04029501507
196	0.04020945931
197	0.04007062568
198	0.03993691697
199	0.0397901966
200	0.03965088005
201	0.03960340067
202	0.03948866321
203	0.03938401156
204	0.03925187458
205	0.03918929392
206	0.03906309298
207	0.03895881683
208	0.03888101065
209	0.03878721984
210	0.03873036135
211	0.03862671266
212	0.03851587733
213	0.03840762735
214	0.03831056429
215	0.03814792246
216	0.03803212742
217	0.03795199546
218	0.03786922911
219	0.03776983649
220	0.03767347529
221	0.03759785468
222	0.03751685183
223	0.0374205246
224	0.03731918808
225	0.03725141959
226	0.03718260012
227	0.03714700684
228	0.03709945291
229	0.03703893223
230	0.03698155915
231	0.03690404254
232	0.03682398063
233	0.03677363542
234	0.03668125189
235	0.03659055391
236	0.03650959452
237	0.03644621341
238	0.03640609902
239	0.03636357521
240	0.03630824289
241	0.03624520763
242	0.03619822877
243	0.03614671509
244	0.03607119528
245	0.03603913369
246	0.0359749421
247	0.03588959399
248	0.03584925362
249	0.03581025972
250	0.03577816132
251	0.03571674519
252	0.03564296291
253	0.03560104787
254	0.03555897881
255	0.03549942658
256	0.03540958304
257	0.0353552989
258	0.03530625184
259	0.03523334379
260	0.0351708145
261	0.03509475733
262	0.03505177704
263	0.03501039318
264	0.03498252063
265	0.0349285238
266	0.03485244229
267	0.0347879348
268	0.03471073147
269	0.0346384611
270	0.03455824291
271	0.03450455999
272	0.0344438469
273	0.03441412408
274	0.03434360968
275	0.03429490311
276	0.03421821317
277	0.03417275132
278	0.03415235434
279	0.03410402904
280	0.03405514484
281	0.03400802603
282	0.03394631303
283	0.03385746621
284	0.03381729002
285	0.03379578244
286	0.03376447979
287	0.03373460967
288	0.03370642887
289	0.03364440232
290	0.03361866166
291	0.03359299994
292	0.03354966764
293	0.03351944357
294	0.03343657185
295	0.03339121887
296	0.03336272084
297	0.03330072329
298	0.03325829192
299	0.03321992311
300	0.03316886893
301	0.03313118561
302	0.03310825846
303	0.03306531058
304	0.03301635115
305	0.03296959126
306	0.03292150783
307	0.0328913571
308	0.03282504771
309	0.03280505331
310	0.03276971899
311	0.03270684126
312	0.03266826464
313	0.03263580184
314	0.0325659086
315	0.03251981385
316	0.03250461249
317	0.0324569178
318	0.03243852272
319	0.03238222759
320	0.03235820396
321	0.03233982552
322	0.03232034557
323	0.03229462888
324	0.03226607719
325	0.03223556649
326	0.03218699948
327	0.03216864861
328	0.03213815791
329	0.03209325118
330	0.03207968447
331	0.03204360478
332	0.03201327946
333	0.03198243479
334	0.03194897505
335	0.03191613203
336	0.03187943988
337	0.03184595197
338	0.03182977257
339	0.03179506148
340	0.03177573987
341	0.03175125698
342	0.03171282229
343	0.03167130744
344	0.03164310684
345	0.03161980547
346	0.03160145378
347	0.03153754944
348	0.03150459012
349	0.03145407546
350	0.03142990045
351	0.03139064433
352	0.03135869177
353	0.03132811661
354	0.03130129327
355	0.03127737344
356	0.03124337149
357	0.03119214462
358	0.03118112301
359	0.03113430783
360	0.0310983733
361	0.03107866125
362	0.03104833986
363	0.03103240145
364	0.03099307335
365	0.03095780864
366	0.0309364527
367	0.03085940828
368	0.03080566262
369	0.03077789053
370	0.03075606972
371	0.03072616896
372	0.03065988681
373	0.03059719047
374	0.03057153801
375	0.03053633052
376	0.03050667176
377	0.03047546528
378	0.03044118641
379	0.03041159988
380	0.03038368261
381	0.03037100164
382	0.03034640067
383	0.03031169304
384	0.03027757976
385	0.03025662469
386	0.03023385114
387	0.03019393197
388	0.03016575965
389	0.03013762692
390	0.03011916496
391	0.03009880276
392	0.0300666588
393	0.03003929839
394	0.03001179757
395	0.02998490337
396	0.02995378405
397	0.02993533198
398	0.0298831893
399	0.02983936825
400	0.02982276108
401	0.02978833587
402	0.02974540773
403	0.02970887157
404	0.02968195807
405	0.02966013431
406	0.02965492818
407	0.02961585283
408	0.02958631221
409	0.02955791341
410	0.02952981234
411	0.02949927901
412	0.02946895523
413	0.02943637421
414	0.02941201408
415	0.02938641624
416	0.02936025427
417	0.02932627548
418	0.02930409752
419	0.02929622539
420	0.02926845095
421	0.02921779849
422	0.02918206043
423	0.02916690859
424	0.02915353292
425	0.02913705354
426	0.02911783388
427	0.02906224327
428	0.02903682459
429	0.02901921769
430	0.02899879919
431	0.02897688247
432	0.02890769625
433	0.02884955327
434	0.02882382916
435	0.028791508
436	0.02876961612
437	0.02875411984
438	0.02872513513
439	0.02870253176
440	0.02869180627
441	0.02867231384
442	0.02865180951
443	0.0286383409
444	0.02859721513
445	0.0285892483
446	0.02854978285
447	0.02852810834
448	0.02852117349
449	0.02850904853
450	0.02849223077
451	0.0284768786
452	0.02843914121
453	0.02839183497
454	0.02838300432
455	0.02836266211
456	0.02834219883
457	0.02831962772
458	0.02830414942
459	0.02826585351
460	0.02824295461
461	0.02822919255
462	0.02819689736
