entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction,pnl_1c,period
2006-02-01 15:23:00,2006-02-03 17:43:00,128500.0,126240.0,40,-90400.0,signal_reverse,long,-2260.0,train
2006-02-06 15:21:00,2006-02-15 15:12:00,129150.0,133650.0,48,216000.0,signal_reverse,long,4500.0,train
2006-02-15 16:36:00,2006-02-20 17:43:00,134445.0,145070.0,12,127500.0,partial_tp,long,10625.0,train
2006-02-15 16:36:00,2006-03-07 18:42:00,134445.0,138300.0,36,138780.0,signal_reverse,long,3855.0,train
2006-03-23 15:23:00,2006-03-23 16:33:00,146700.0,145805.0,52,-46540.0,signal_reverse,long,-895.0,train
2006-03-30 14:48:00,2006-04-07 16:42:00,145000.0,154200.0,14,128800.0,partial_tp,long,9200.0,train
2006-03-30 14:48:00,2006-05-03 15:26:00,145000.0,173340.0,42,1190280.0,signal_reverse,long,28340.0,train
2006-05-17 18:05:00,2006-05-22 17:12:00,156360.0,133440.0,9,206280.0,partial_tp,short,22920.0,train
2006-05-17 18:05:00,2006-05-25 16:59:00,156360.0,144000.0,27,333720.0,signal_reverse,short,12360.0,train
2006-06-06 17:03:00,2006-06-08 11:14:00,148995.0,134600.0,36,518220.0,expiration,short,14395.0,train
2006-06-28 17:15:00,2006-07-04 18:34:00,142250.0,155950.0,10,137000.0,partial_tp,long,13700.0,train
2006-06-28 17:15:00,2006-07-17 15:00:00,142250.0,144165.0,30,57450.0,signal_reverse,long,1915.0,train
2006-07-31 14:49:00,2006-07-31 16:03:00,157330.0,156450.0,48,-42240.0,signal_reverse,long,-880.0,train
2006-08-01 15:10:00,2006-08-18 18:14:00,157200.0,158105.0,44,39820.0,signal_reverse,long,905.0,train
2006-09-05 16:45:00,2006-09-06 15:09:00,164805.0,163480.0,68,-90100.0,signal_reverse,long,-1325.0,train
2006-09-07 17:54:00,2006-09-08 11:17:00,158700.0,157500.0,64,76800.0,expiration,short,1200.0,train
2006-09-22 17:06:00,2006-09-27 16:53:00,151205.0,152570.0,60,-81900.0,signal_reverse,short,-1365.0,train
2006-10-09 18:44:00,2006-10-30 14:54:00,160690.0,160360.0,52,-17160.0,signal_reverse,long,-330.0,train
2006-11-01 17:02:00,2006-11-02 16:45:00,164300.0,163500.0,68,-54400.0,signal_reverse,long,-800.0,train
2006-11-03 17:23:00,2006-11-03 18:44:00,165000.0,165380.0,68,25840.0,signal_reverse,long,380.0,train
2006-11-07 14:47:00,2006-11-29 16:35:00,167920.0,176240.0,16,133120.0,partial_tp,long,8320.0,train
2006-11-07 14:47:00,2006-12-07 18:43:00,167920.0,184300.0,48,786240.0,signal_reverse,long,16380.0,train
2006-12-26 16:45:00,2006-12-26 18:44:00,186085.0,185415.0,80,-53600.0,signal_reverse,long,-670.0,train
2006-12-27 16:20:00,2007-01-09 14:49:00,187500.0,181305.0,88,-545160.0,signal_reverse,long,-6195.0,train
2007-01-16 18:44:00,2007-01-17 15:02:00,188500.0,184900.0,36,-129600.0,signal_reverse,long,-3600.0,train
2007-01-17 17:15:00,2007-01-17 18:44:00,180305.0,181495.0,32,-38080.0,signal_reverse,short,-1190.0,train
2007-01-26 17:35:00,2007-01-26 18:35:00,187000.0,186415.0,48,-28080.0,signal_reverse,long,-585.0,train
2007-01-30 17:30:00,2007-02-01 14:36:00,181355.0,188360.0,60,-420300.0,close_opposing,short,-7005.0,train
2007-02-02 14:50:00,2007-02-12 14:52:00,189935.0,185230.0,48,-225840.0,signal_reverse,long,-4705.0,train
2007-02-14 14:45:00,2007-02-20 14:44:00,188720.0,189430.0,40,28400.0,signal_reverse,long,710.0,train
2007-02-20 15:50:00,2007-02-20 17:01:00,190360.0,189335.0,56,-57400.0,signal_reverse,long,-1025.0,train
2007-02-22 16:50:00,2007-02-22 17:51:00,192620.0,192600.0,64,-1280.0,signal_reverse,long,-20.0,train
2007-02-26 14:47:00,2007-02-27 17:41:00,196665.0,189700.0,56,-390040.0,signal_reverse,long,-6965.0,train
2007-02-28 17:16:00,2007-03-09 11:14:00,183745.0,179300.0,36,160020.0,expiration,short,4445.0,train
2007-03-23 14:53:00,2007-04-18 17:59:00,188605.0,193700.0,36,183420.0,signal_reverse,long,5095.0,train
2007-04-20 17:48:00,2007-04-23 15:45:00,194590.0,194200.0,52,-20280.0,signal_reverse,long,-390.0,train
2007-04-23 17:47:00,2007-04-24 14:35:00,194950.0,193140.0,52,-94120.0,signal_reverse,long,-1810.0,train
2007-04-27 17:59:00,2007-04-28 17:12:00,188930.0,191250.0,48,-111360.0,signal_reverse,short,-2320.0,train
2007-05-07 17:33:00,2007-05-11 17:23:00,191420.0,183255.0,25,204125.0,partial_tp,short,8165.0,train
2007-05-07 17:33:00,2007-05-16 17:59:00,191420.0,186975.0,75,333375.0,signal_reverse,short,4445.0,train
2007-05-23 17:15:00,2007-05-29 17:15:00,181425.0,172545.0,18,159840.0,partial_tp,short,8880.0,train
2007-05-23 17:15:00,2007-05-31 17:20:00,181425.0,176540.0,54,263790.0,signal_reverse,short,4885.0,train
2007-06-18 14:31:00,2007-07-12 14:29:00,192500.0,203800.0,12,135600.0,partial_tp,long,11300.0,train
2007-06-18 14:31:00,2007-07-16 14:31:00,192500.0,208490.0,36,575640.0,signal_reverse,long,15990.0,train
2007-08-09 17:14:00,2007-08-16 17:14:00,193550.0,183140.0,16,166560.0,partial_tp,short,10410.0,train
2007-08-09 17:14:00,2007-08-22 17:14:00,193550.0,186245.0,48,350640.0,signal_reverse,short,7305.0,train
2007-08-31 17:29:00,2007-08-31 17:59:00,192900.0,191990.0,52,-47320.0,signal_reverse,long,-910.0,train
2007-09-03 14:29:00,2007-09-03 15:29:00,192945.0,191800.0,56,-64120.0,signal_reverse,long,-1145.0,train
2007-09-05 17:59:00,2007-09-06 17:14:00,190060.0,192600.0,76,-193040.0,signal_reverse,short,-2540.0,train
2007-09-06 17:29:00,2007-09-07 14:29:00,193025.0,191285.0,68,-118320.0,signal_reverse,long,-1740.0,train
2007-09-18 14:29:00,2007-09-19 14:29:00,195350.0,203100.0,18,139500.0,partial_tp,long,7750.0,train
2007-09-18 14:29:00,2007-10-03 14:29:00,195350.0,214000.0,54,1007100.0,signal_reverse,long,18650.0,train
2007-10-25 14:34:00,2007-10-25 17:59:00,217115.0,216050.0,60,-63900.0,signal_reverse,long,-1065.0,train
2007-10-26 14:34:00,2007-11-06 17:34:00,219230.0,228595.0,14,131110.0,partial_tp,long,9365.0,train
2007-10-26 14:34:00,2007-11-14 14:34:00,219230.0,224730.0,42,231000.0,signal_reverse,long,5500.0,train
2007-11-14 16:34:00,2007-11-15 14:34:00,225680.0,224485.0,44,-52580.0,signal_reverse,long,-1195.0,train
2007-11-19 17:19:00,2007-11-20 17:59:00,217700.0,220210.0,64,-160640.0,signal_reverse,short,-2510.0,train
2007-11-21 17:19:00,2007-11-23 17:19:00,215900.0,216050.0,40,-6000.0,signal_reverse,short,-150.0,train
2007-12-05 14:34:00,2007-12-10 11:29:00,225190.0,229300.0,56,230160.0,expiration,long,4110.0,train
2007-12-18 14:34:00,2007-12-25 17:34:00,233845.0,233800.0,36,-1620.0,signal_reverse,long,-45.0,train
2008-01-14 14:34:00,2008-01-15 17:59:00,236450.0,235380.0,64,-68480.0,signal_reverse,long,-1070.0,train
2008-01-16 17:19:00,2008-01-16 17:59:00,225080.0,224900.0,28,5040.0,signal_reverse,short,180.0,train
2008-01-17 17:19:00,2008-01-22 17:26:00,221200.0,197075.0,6,144750.0,partial_tp,short,24125.0,train
2008-01-17 17:19:00,2008-01-25 17:19:00,221200.0,205995.0,18,273690.0,signal_reverse,short,15205.0,train
2008-01-28 17:19:00,2008-01-29 17:19:00,199890.0,203050.0,28,-88480.0,signal_reverse,short,-3160.0,train
2008-02-05 17:59:00,2008-02-12 17:17:00,196600.0,199060.0,32,-78720.0,signal_reverse,short,-2460.0,train
2008-02-18 15:32:00,2008-02-19 14:32:00,204170.0,203585.0,28,-16380.0,signal_reverse,long,-585.0,train
2008-02-19 15:32:00,2008-03-03 14:32:00,205055.0,200500.0,36,-163980.0,signal_reverse,long,-4555.0,train
2008-03-03 17:17:00,2008-03-04 17:17:00,202375.0,201950.0,36,15300.0,signal_reverse,short,425.0,train
2008-03-05 17:17:00,2008-03-05 17:32:00,203955.0,204300.0,36,-12420.0,close_opposing,short,-345.0,train
2008-03-06 14:32:00,2008-03-07 14:32:00,205230.0,201390.0,36,-138240.0,signal_reverse,long,-3840.0,train
2008-03-20 17:17:00,2008-03-24 17:59:00,196100.0,201000.0,32,-156800.0,signal_reverse,short,-4900.0,train
2008-03-25 17:59:00,2008-03-26 17:17:00,198375.0,199200.0,44,-36300.0,signal_reverse,short,-825.0,train
2008-04-02 17:32:00,2008-04-03 16:32:00,206480.0,204670.0,44,-79640.0,signal_reverse,long,-1810.0,train
2008-04-04 14:32:00,2008-04-04 16:32:00,205400.0,204795.0,48,-29040.0,signal_reverse,long,-605.0,train
2008-04-07 14:32:00,2008-04-14 14:32:00,208375.0,204975.0,52,-176800.0,signal_reverse,long,-3400.0,train
2008-04-14 17:17:00,2008-04-14 17:59:00,206395.0,205795.0,48,28800.0,signal_reverse,short,600.0,train
2008-04-15 14:32:00,2008-04-24 17:59:00,207125.0,209800.0,48,128400.0,signal_reverse,long,2675.0,train
2008-04-28 14:32:00,2008-04-29 17:32:00,213520.0,211290.0,52,-115960.0,signal_reverse,long,-2230.0,train
2008-05-04 14:35:00,2008-05-04 15:35:00,213045.0,213395.0,64,22400.0,signal_reverse,long,350.0,train
2008-05-07 16:32:00,2008-05-08 17:32:00,218450.0,226880.0,18,151740.0,partial_tp,long,8430.0,train
2008-05-07 16:32:00,2008-05-29 14:32:00,218450.0,242870.0,54,1318680.0,signal_reverse,long,24420.0,train
2008-05-29 16:32:00,2008-05-29 17:32:00,244330.0,243680.0,28,-18200.0,signal_reverse,long,-650.0,train
2008-06-07 18:19:00,2008-06-09 11:14:00,234400.0,236315.0,48,-91920.0,expiration,short,-1915.0,train
