entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction
2007-03-28 16:49:00,2007-04-12 17:59:00,191350.0,194165.0,12,33780.0,signal_reverse,long
2007-04-13 16:58:00,2007-04-19 16:53:00,197710.0,189540.0,13,-106210.0,signal_reverse,long
2007-06-18 17:59:00,2007-06-19 17:59:00,191800.0,189625.0,10,-21750.0,signal_reverse,long
2007-06-20 17:59:00,2007-06-21 17:59:00,193990.0,190800.0,10,-31900.0,signal_reverse,long
2007-07-02 17:59:00,2007-07-25 17:59:00,193700.0,206900.0,14,184800.0,signal_reverse,long
2007-09-18 17:59:00,2007-10-19 17:59:00,198120.0,214820.0,14,233800.0,signal_reverse,long
2007-10-26 17:59:00,2007-11-13 17:59:00,221185.0,223845.0,11,29260.0,signal_reverse,long
2007-11-14 17:59:00,2007-11-15 17:59:00,225835.0,223200.0,9,-23715.0,signal_reverse,long
2008-04-08 17:59:00,2008-04-24 17:59:00,208380.0,209800.0,12,17040.0,signal_reverse,long
2008-04-25 17:59:00,2008-04-29 17:59:00,210100.0,211380.0,10,12800.0,signal_reverse,long
2008-05-07 17:59:00,2008-05-27 18:17:00,219200.0,238650.0,15,291750.0,signal_reverse,long
2008-06-02 18:17:00,2008-06-04 18:17:00,244430.0,235450.0,7,-62860.0,signal_reverse,long
2008-11-25 18:17:00,2008-11-26 18:17:00,70245.0,65365.0,6,-29280.0,signal_reverse,long
2009-03-04 18:17:00,2009-03-10 12:12:00,55980.0,59895.0,15,58725.0,expiration,long
2009-03-19 18:17:00,2009-03-30 18:17:00,68125.0,65525.0,12,-31200.0,signal_reverse,long
2009-04-03 18:17:00,2009-04-16 18:17:00,72175.0,79160.0,11,76835.0,signal_reverse,long
2009-08-03 18:17:00,2009-08-10 18:17:00,107825.0,105675.0,9,-19350.0,signal_reverse,long
2009-08-21 18:17:00,2009-08-31 18:02:00,107005.0,104405.0,10,-26000.0,signal_reverse,long
2009-09-03 18:02:00,2009-09-04 18:02:00,106375.0,105400.0,12,-11700.0,signal_reverse,long
