entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction
2008-08-08 15:13:00,2008-08-28 15:23:00,24155.0,24597.0,637,281554.0,signal_reverse,long
2008-08-28 16:51:00,2008-09-08 11:39:00,24625.0,25340.0,627,448305.0,expiration,long
2008-09-30 14:38:00,2008-10-10 18:38:00,25650.0,26580.0,475,441750.0,signal_reverse,long
2008-10-10 20:27:00,2008-10-13 14:25:00,26632.0,26445.0,443,-82841.0,signal_reverse,long
2008-10-13 23:03:00,2008-10-14 15:53:00,26484.0,26344.0,351,-49140.0,signal_reverse,long
2008-10-14 18:34:00,2008-10-28 22:41:00,26420.0,27890.0,452,664440.0,signal_reverse,long
2008-11-06 18:23:00,2008-11-07 14:33:00,27555.0,27443.0,315,-35280.0,signal_reverse,long
2008-11-07 18:03:00,2008-11-07 19:22:00,27555.0,27415.0,370,-51800.0,signal_reverse,long
2008-11-11 14:37:00,2008-11-17 19:13:00,28130.0,28483.0,385,135905.0,signal_reverse,long
2008-11-18 15:37:00,2008-11-19 15:23:00,28561.0,28395.0,300,-49800.0,signal_reverse,long
2008-11-19 16:43:00,2008-11-19 18:07:00,28482.0,28382.0,369,-36900.0,signal_reverse,long
2008-11-19 19:09:00,2008-11-21 15:08:00,28551.0,28300.0,339,-85089.0,signal_reverse,long
2008-11-28 17:17:00,2008-12-04 20:49:00,28430.0,28000.0,410,-176300.0,signal_reverse,long
2008-12-19 15:18:00,2011-01-12 13:59:00,30531.0,30504.0,345,-9315.0,signal_reverse,long
2011-01-20 16:02:00,2011-01-24 17:02:00,30126.0,29943.0,1240,-226920.0,signal_reverse,long
2011-01-24 18:02:00,2011-01-24 19:17:00,30005.0,29948.0,909,-51813.0,signal_reverse,long
2011-04-19 20:25:00,2011-04-20 13:59:00,28435.0,28236.0,720,-143280.0,signal_reverse,long
2011-05-12 13:59:00,2011-05-12 16:02:00,28134.0,28111.0,758,-17434.0,signal_reverse,long
2011-05-17 21:25:00,2011-05-18 13:59:00,28292.0,28110.0,719,-130858.0,signal_reverse,long
2011-05-20 20:23:00,2011-05-25 19:17:00,28235.0,28468.0,832,193856.0,signal_reverse,long
2011-06-20 13:59:00,2011-06-20 17:02:00,28419.0,28371.0,911,-43728.0,signal_reverse,long
2011-06-23 19:17:00,2011-06-24 13:59:00,28559.0,28389.0,834,-141780.0,signal_reverse,long
2011-06-27 13:59:00,2011-06-28 13:59:00,28602.0,28462.0,778,-108920.0,signal_reverse,long
2011-07-06 13:59:00,2011-07-13 19:17:00,28160.0,28210.0,1268,63400.0,signal_reverse,long
2011-07-18 15:02:00,2011-07-18 21:32:00,28365.0,28367.0,1075,2150.0,signal_reverse,long
2011-08-04 22:20:00,2011-08-11 19:17:00,28325.0,29628.0,836,1089308.0,signal_reverse,long
2011-08-18 13:59:00,2011-08-22 21:17:00,29088.0,29159.0,628,44588.0,signal_reverse,long
2011-08-25 19:17:00,2011-08-26 14:03:00,28986.0,28949.0,732,-27084.0,signal_reverse,long
2011-08-26 17:03:00,2011-08-26 18:03:00,28977.0,28963.0,904,-12656.0,signal_reverse,long
2011-08-30 13:59:00,2011-09-06 13:59:00,29003.0,29454.0,876,395076.0,signal_reverse,long
2011-09-19 13:59:00,2011-09-27 13:59:00,31307.0,32659.0,586,792272.0,signal_reverse,long
2011-09-30 13:59:00,2011-10-05 20:17:00,32541.0,32920.0,512,194048.0,signal_reverse,long
2011-11-21 18:02:00,2011-11-22 16:02:00,31130.0,31072.0,705,-40890.0,signal_reverse,long
2011-11-22 18:02:00,2011-11-28 13:59:00,31233.0,31376.0,644,92092.0,signal_reverse,long
2011-12-05 13:59:00,2011-12-08 10:59:00,30930.0,31243.0,710,222230.0,expiration,long
2011-12-19 13:59:00,2011-12-21 13:59:00,32462.0,32005.0,807,-368799.0,signal_reverse,long
2011-12-27 20:22:00,2012-01-03 15:03:00,31840.0,32112.0,801,217872.0,signal_reverse,long
2012-01-05 20:21:00,2012-01-10 13:59:00,32315.0,32012.0,611,-185133.0,signal_reverse,long
2012-03-22 19:18:00,2012-03-22 21:25:00,29847.0,29791.0,789,-44184.0,signal_reverse,long
2012-03-28 18:02:00,2012-04-02 13:59:00,29598.0,29686.0,806,70928.0,signal_reverse,long
2012-04-02 15:02:00,2012-04-02 19:17:00,29698.0,29637.0,788,-48068.0,signal_reverse,long
2012-04-04 13:59:00,2012-04-09 21:20:00,29738.0,29878.0,738,103320.0,signal_reverse,long
2012-04-10 17:02:00,2012-04-11 18:02:00,29930.0,29917.0,1030,-13390.0,signal_reverse,long
2012-04-16 13:59:00,2012-04-16 17:02:00,29951.0,29890.0,865,-52765.0,signal_reverse,long
2012-04-16 20:27:00,2012-04-17 19:17:00,29894.0,29735.0,841,-133719.0,signal_reverse,long
2012-04-23 16:02:00,2012-04-24 13:59:00,29775.0,29630.0,1293,-187485.0,signal_reverse,long
2012-05-02 16:02:00,2012-05-02 19:18:00,29660.0,29614.0,1200,-55200.0,signal_reverse,long
2012-05-03 16:03:00,2012-05-03 19:18:00,29741.0,29698.0,1244,-53492.0,signal_reverse,long
2012-05-04 19:17:00,2012-05-21 19:17:00,29918.0,31310.0,1073,1493616.0,signal_reverse,long
2012-05-23 13:59:00,2012-06-04 21:19:00,31671.0,33541.0,591,1105170.0,signal_reverse,long
2012-06-19 13:59:00,2012-06-19 16:02:00,33206.0,33075.0,425,-55675.0,signal_reverse,long
2012-06-19 17:02:00,2012-06-19 18:02:00,33098.0,33010.0,413,-36344.0,signal_reverse,long
2012-06-20 13:59:00,2012-06-26 13:59:00,33010.0,33528.0,398,206164.0,signal_reverse,long
2012-06-28 21:17:00,2012-06-29 13:59:00,33613.0,33435.0,608,-108224.0,signal_reverse,long
2012-07-05 18:02:00,2012-07-05 19:17:00,32997.0,32920.0,448,-34496.0,signal_reverse,long
2012-07-05 21:18:00,2012-07-13 20:27:00,32922.0,32932.0,452,4520.0,signal_reverse,long
2012-08-03 13:59:00,2012-08-03 17:02:00,32666.0,32477.0,501,-94689.0,signal_reverse,long
2012-08-30 21:17:00,2012-09-03 20:18:00,32667.0,32371.0,738,-218448.0,signal_reverse,long
2012-09-05 13:59:00,2012-09-05 17:02:00,32439.0,32306.0,752,-100016.0,signal_reverse,long
2012-10-22 22:17:00,2012-10-24 19:17:00,31410.0,31614.0,847,172788.0,signal_reverse,long
2012-10-24 22:17:00,2012-10-26 17:02:00,31715.0,31634.0,680,-55080.0,signal_reverse,long
2012-10-26 18:02:00,2012-10-26 19:17:00,31688.0,31670.0,664,-11952.0,signal_reverse,long
2012-10-26 20:17:00,2012-10-26 21:17:00,31675.0,31651.0,671,-16104.0,signal_reverse,long
2012-10-26 22:17:00,2012-10-30 15:02:00,31645.0,31595.0,737,-36850.0,signal_reverse,long
2012-10-30 16:02:00,2012-10-30 17:02:00,31641.0,31617.0,1088,-26112.0,signal_reverse,long
2012-11-02 18:02:00,2012-11-06 22:18:00,31623.0,31586.0,914,-33818.0,signal_reverse,long
2012-11-07 16:02:00,2012-11-08 17:02:00,31588.0,31737.0,788,117412.0,signal_reverse,long
2012-11-08 20:17:00,2012-11-08 21:17:00,31762.0,31735.0,807,-21789.0,signal_reverse,long
2012-11-08 22:17:00,2012-11-15 17:02:00,31718.0,31840.0,829,101138.0,signal_reverse,long
2012-11-16 19:27:00,2012-11-16 22:27:00,31938.0,31840.0,1276,-125048.0,signal_reverse,long
2012-12-21 19:17:00,2012-12-24 13:59:00,31273.0,31075.0,987,-195426.0,signal_reverse,long
2013-02-21 13:59:00,2013-02-25 16:02:00,30425.0,30383.0,1156,-48552.0,signal_reverse,long
2013-02-25 19:17:00,2013-02-28 17:02:00,30417.0,30616.0,1153,229447.0,signal_reverse,long
2013-02-28 21:17:00,2013-02-28 22:18:00,30697.0,30675.0,1212,-26664.0,signal_reverse,long
2013-03-01 13:59:00,2013-03-05 20:17:00,30753.0,30731.0,1221,-26862.0,signal_reverse,long
2013-03-18 13:59:00,2013-03-18 20:17:00,31327.0,31267.0,1036,-62160.0,signal_reverse,long
2013-03-19 13:59:00,2013-03-20 19:17:00,31330.0,31324.0,1197,-7182.0,signal_reverse,long
2013-03-21 13:59:00,2013-03-22 13:59:00,31381.0,31353.0,1192,-33376.0,signal_reverse,long
2013-03-25 21:17:00,2013-03-25 22:17:00,31399.0,31357.0,1037,-43554.0,signal_reverse,long
2013-03-27 14:03:00,2013-04-05 20:17:00,31366.0,31911.0,1183,644735.0,signal_reverse,long
2013-04-12 19:27:00,2013-04-22 13:59:00,31411.0,31937.0,884,464984.0,signal_reverse,long
2013-04-23 13:59:00,2013-04-24 13:59:00,32035.0,31767.0,717,-192156.0,signal_reverse,long
2013-05-10 13:59:00,2013-05-14 22:28:00,31476.0,31554.0,1042,81276.0,signal_reverse,long
2013-05-28 19:17:00,2013-06-05 17:02:00,31615.0,32126.0,1305,666855.0,signal_reverse,long
2013-06-05 19:17:00,2013-06-10 11:00:00,32231.0,32866.0,656,416560.0,expiration,long
2013-06-18 13:59:00,2013-06-24 22:17:00,32564.0,33219.0,516,337980.0,signal_reverse,long
2013-06-26 13:59:00,2013-06-27 13:59:00,33374.0,33366.0,717,-5736.0,signal_reverse,long
2013-06-27 18:02:00,2013-06-27 21:19:00,33279.0,33243.0,752,-27072.0,signal_reverse,long
2013-06-28 18:02:00,2013-06-28 19:17:00,33368.0,33295.0,675,-49275.0,signal_reverse,long
2013-07-01 16:02:00,2013-07-01 17:02:00,33432.0,33413.0,759,-14421.0,signal_reverse,long
2013-07-01 19:17:00,2013-07-05 15:02:00,33415.0,33585.0,761,129370.0,signal_reverse,long
2013-07-05 17:02:00,2013-07-08 22:21:00,33658.0,33591.0,1037,-69479.0,signal_reverse,long
2013-08-07 20:18:00,2013-08-08 15:02:00,33216.0,33130.0,1103,-94858.0,signal_reverse,long
2013-08-08 17:02:00,2013-08-08 18:02:00,33161.0,33144.0,1285,-21845.0,signal_reverse,long
2013-08-12 18:03:00,2013-08-15 13:59:00,33174.0,33116.0,1246,-72268.0,signal_reverse,long
2013-08-20 13:59:00,2013-08-20 18:02:00,33137.0,33093.0,1305,-57420.0,signal_reverse,long
2013-08-20 19:18:00,2013-08-23 19:17:00,33084.0,33104.0,1313,26260.0,signal_reverse,long
2013-08-27 13:59:00,2013-08-28 13:59:00,33305.0,33274.0,1158,-35898.0,signal_reverse,long
2013-08-28 16:02:00,2013-08-29 13:59:00,33353.0,33307.0,1136,-52256.0,signal_reverse,long
2013-08-30 17:02:00,2013-09-04 20:17:00,33346.0,33385.0,1468,57252.0,signal_reverse,long
2013-09-04 21:18:00,2013-09-05 15:02:00,33389.0,33451.0,1080,66960.0,signal_reverse,long
2013-09-05 16:02:00,2013-09-05 17:02:00,33478.0,33486.0,1070,8560.0,signal_reverse,long
2013-09-05 20:17:00,2013-09-05 21:20:00,33517.0,33492.0,1051,-26275.0,signal_reverse,long
2013-11-01 19:17:00,2013-11-05 13:59:00,32617.0,32598.0,1035,-19665.0,signal_reverse,long
2013-11-05 19:17:00,2013-11-06 18:02:00,32768.0,32613.0,992,-153760.0,signal_reverse,long
2013-11-08 18:02:00,2013-11-14 13:59:00,32883.0,32867.0,663,-10608.0,signal_reverse,long
2013-11-19 17:02:00,2013-11-22 18:02:00,32864.0,32870.0,1315,7890.0,signal_reverse,long
2013-11-22 19:17:00,2013-11-22 20:17:00,32926.0,32942.0,852,13632.0,signal_reverse,long
2013-11-26 19:17:00,2013-12-02 16:02:00,33137.0,33262.0,880,110000.0,signal_reverse,long
