entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction
2007-10-16 17:58:00,2007-11-07 17:55:00,25028.0,24495.0,860,458380.0,signal_reverse,long
2008-02-27 17:59:00,2008-03-11 17:55:00,24159.0,24099.0,823,49380.0,expiration,long
2008-03-20 17:59:00,2008-04-01 17:59:00,23982.0,23740.0,627,151734.0,signal_reverse,long
2008-04-04 17:59:00,2008-04-10 17:59:00,23664.0,23567.0,826,80122.0,signal_reverse,long
2008-07-10 18:47:00,2008-07-25 17:19:00,23409.0,23428.0,539,-10241.0,signal_reverse,long
2008-08-22 16:46:00,2008-08-26 17:03:00,24420.0,24772.0,846,-297792.0,signal_reverse,long
2008-08-29 17:02:00,2008-09-02 17:10:00,24611.0,24847.0,824,-194464.0,signal_reverse,long
2008-09-18 17:29:00,2008-09-29 16:20:00,25450.0,25640.0,415,-78850.0,signal_reverse,long
2008-10-14 16:37:00,2008-10-16 17:05:00,26330.0,26714.0,496,-190464.0,signal_reverse,long
2008-10-29 16:41:00,2008-11-01 17:30:00,27552.0,27717.0,238,-39270.0,signal_reverse,long
2008-11-05 16:40:00,2008-11-11 16:39:00,27414.0,28100.0,272,-186592.0,signal_reverse,long
2008-11-20 16:50:00,2008-11-28 16:42:00,28512.0,28389.0,401,49323.0,signal_reverse,long
2008-12-03 17:04:00,2008-12-04 16:50:00,28250.0,28242.0,651,5208.0,signal_reverse,long
2011-01-12 16:02:00,2011-01-19 16:03:00,30497.0,29917.0,260,150800.0,signal_reverse,long
2011-01-24 16:02:00,2011-01-24 17:32:00,29977.0,30063.0,1152,-99072.0,signal_reverse,long
2011-01-25 16:02:00,2011-01-25 17:32:00,29927.0,29932.0,1186,-5930.0,signal_reverse,long
2011-01-26 16:02:00,2011-01-28 17:33:00,29846.0,29825.0,1296,27216.0,signal_reverse,long
2011-02-01 16:02:00,2011-02-04 17:33:00,29706.0,29459.0,1306,322582.0,signal_reverse,long
2011-02-15 16:47:00,2011-02-16 16:02:00,29343.0,29359.0,1766,-28256.0,signal_reverse,long
2011-02-16 17:32:00,2011-02-22 16:03:00,29353.0,29313.0,1573,62920.0,signal_reverse,long
2011-02-24 16:02:00,2011-03-02 17:32:00,29090.0,28434.0,1272,834432.0,signal_reverse,long
2011-03-18 16:02:00,2011-03-23 16:02:00,28673.0,28496.0,968,171336.0,signal_reverse,long
2011-04-01 16:02:00,2011-04-05 16:47:00,28536.0,28497.0,1306,50934.0,signal_reverse,long
2011-04-06 16:03:00,2011-04-12 16:05:00,28356.0,28256.0,1423,142300.0,signal_reverse,long
2011-04-20 16:02:00,2011-04-27 16:03:00,28242.0,27827.0,989,410435.0,signal_reverse,long
2011-05-13 16:47:00,2011-05-13 17:32:00,27983.0,28036.0,948,-50244.0,signal_reverse,long
2011-05-18 16:02:00,2011-05-18 17:32:00,28121.0,28155.0,903,-30702.0,signal_reverse,long
2011-05-19 16:03:00,2011-05-20 16:02:00,28075.0,28098.0,935,-21505.0,signal_reverse,long
2011-05-27 16:02:00,2011-06-03 16:02:00,28143.0,27890.0,946,239338.0,signal_reverse,long
2011-06-20 16:02:00,2011-06-23 16:02:00,28434.0,28355.0,1093,86347.0,signal_reverse,long
2011-06-29 16:02:00,2011-07-05 16:03:00,28231.0,28077.0,1192,183568.0,signal_reverse,long
2011-07-14 16:02:00,2011-07-15 16:02:00,28247.0,28258.0,1054,-11594.0,signal_reverse,long
2011-07-19 16:04:00,2011-07-26 16:48:00,28244.0,27683.0,1543,865623.0,signal_reverse,long
2011-08-01 16:02:00,2011-08-01 16:47:00,27698.0,27691.0,1240,8680.0,signal_reverse,long
2011-08-12 16:02:00,2011-08-18 16:02:00,29260.0,29192.0,431,29308.0,signal_reverse,long
2011-08-24 16:02:00,2011-08-26 16:03:00,28990.0,28981.0,844,7596.0,signal_reverse,long
2011-08-29 16:04:00,2011-08-30 16:02:00,28891.0,29042.0,962,-145262.0,signal_reverse,long
2011-09-27 16:02:00,2011-09-29 16:02:00,32320.0,32403.0,440,-36520.0,signal_reverse,long
2011-10-07 16:02:00,2011-10-13 16:02:00,32550.0,31535.0,628,637420.0,signal_reverse,long
2011-10-24 16:02:00,2011-10-26 16:02:00,31069.0,30798.0,550,149050.0,signal_reverse,long
2011-10-26 17:32:00,2011-10-28 16:02:00,30709.0,30064.0,686,442470.0,signal_reverse,long
2011-11-08 16:02:00,2011-11-09 16:02:00,30495.0,30776.0,612,-171972.0,signal_reverse,long
2011-11-11 16:02:00,2011-11-14 16:02:00,30702.0,30689.0,430,5590.0,signal_reverse,long
2011-11-28 16:02:00,2011-12-05 16:02:00,31340.0,30996.0,728,250432.0,signal_reverse,long
2011-12-21 16:02:00,2011-12-27 16:06:00,32112.0,31555.0,565,314705.0,signal_reverse,long
2012-01-04 16:02:00,2012-01-05 16:02:00,32142.0,32355.0,728,-155064.0,signal_reverse,long
2012-01-10 16:02:00,2012-01-12 16:02:00,32009.0,31900.0,793,86437.0,signal_reverse,long
2012-01-12 16:47:00,2012-01-12 17:32:00,31835.0,31935.0,779,-77900.0,signal_reverse,long
2012-01-13 16:02:00,2012-01-16 16:02:00,31992.0,32028.0,766,-27576.0,signal_reverse,long
2012-01-17 16:02:00,2012-01-24 16:02:00,31778.0,31121.0,840,551880.0,signal_reverse,long
2012-02-01 16:02:00,2012-02-02 16:02:00,30445.0,30454.0,643,-5787.0,signal_reverse,long
2012-02-03 17:32:00,2012-02-06 16:02:00,30309.0,30359.0,873,-43650.0,signal_reverse,long
2012-02-07 16:02:00,2012-02-09 16:02:00,30106.0,29966.0,956,133840.0,signal_reverse,long
2012-02-17 17:32:00,2012-02-27 16:02:00,29938.0,29094.0,873,736812.0,signal_reverse,long
2012-03-19 16:03:00,2012-03-20 16:02:00,29583.0,29686.0,1192,-122776.0,signal_reverse,long
2012-03-26 16:02:00,2012-03-28 16:02:00,29402.0,29515.0,963,-108819.0,signal_reverse,long
2012-04-03 17:32:00,2012-04-04 16:02:00,29455.0,29722.0,848,-226416.0,signal_reverse,long
2012-04-12 16:02:00,2012-04-16 16:02:00,29729.0,29957.0,723,-164844.0,signal_reverse,long
