split,avg_trade,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe,time_sec,avg_trade_1c,total_pts_1c,pf_1c,sharpe_1c,mdd_1c,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,capital,point_value_mult,exitday,sdel_day,exit_week,direction,sl_type,sl_pts,sl_atr_mult,trail_atr,trail_pts,be_target,be_offset,time_bars,time_target,adx_period,adx_threshold,adx_action,tf1_minutes,tf2_minutes,use_legacy_bug
train,65685.484375,320,21019355.0,0.375,2.45657714655958,2255447.0,3.466072297098598,9.94,187.203125,59905.0,2.52197662601626,3.2469733519174913,8220.0,270,265,30,155,160,690,0.9333437008694706,0.9023560261468816,17,5000000,100.0,0,0,0,long,none,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0.0,skip,180,60,False
test,19126.81118881119,143,2735134.0,0.2937062937062937,1.3748935854669582,1573157.0,1.0582199388586064,3.53,109.75524475524476,15695.0,1.5814255019633994,1.2997442300295314,6763.0,270,265,30,155,160,690,0.9333437008694706,0.9023560261468816,17,5000000,100.0,0,0,0,long,none,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0.0,skip,180,60,False
