rank_oos,action_idx,tf1,tf2,lookback,policy_q,is_policy_best,train_avg_trade,train_trades,train_total_pnl,train_pf,train_max_dd_abs,train_max_dd_pct,oos_avg_trade,oos_trades,oos_total_pnl,oos_pf,oos_max_dd_abs,oos_max_dd_pct,delta_oos_pnl_vs_konkop,delta_oos_pf_vs_konkop,delta_oos_max_dd_pct_vs_konkop
46,33,180,45,60,323.1064758300781,0,2400.214592274678,932,2237000.0,1.2727348650133106,347360.0,6.9472000000000005,452.6524390243902,328,148470.0,1.0609130183268305,300530.0,6.0106,-11515653.0,-0.5190869816731696,-9.9194
47,23,150,60,165,158.8052215576172,0,2179.143884892086,695,1514505.0,1.2747219458484835,405790.0,8.1158,523.875,240,125730.0,1.0737108083390006,385860.0,7.7172,-11538393.0,-0.5062891916609995,-8.2128
48,7,120,60,165,-38.318267822265625,0,2221.9186875891583,701,1557565.0,1.282860118569287,370940.0,7.4188,471.2396694214876,242,114040.0,1.0666998099137301,387550.0,7.7509999999999994,-11550083.0,-0.5133001900862699,-8.179
49,46,180,120,95,225.06362915039062,0,1194.4496644295302,745,889865.0,1.293927818212747,157970.0,3.1593999999999998,262.42105263157896,285,74790.0,1.0659686695127544,225000.0,4.5,-11589333.0,-0.5140313304872457,-11.43
50,12,120,120,30,-110.48251342773438,0,1280.9059633027523,872,1116950.0,1.3231433973236049,178470.0,3.5693999999999995,149.5625,320,47860.0,1.0358897062683254,279280.0,5.5856,-11616263.0,-0.5441102937316746,-10.3444
51,28,150,120,30,-304.23065185546875,0,1310.8101851851852,864,1132540.0,1.3303296033413883,183910.0,3.6782000000000004,133.20634920634922,315,41960.0,1.0327188796356945,282420.0,5.6484,-11622163.0,-0.5472811203643055,-10.281600000000001
52,29,150,120,60,-92.84538269042969,0,1202.8711656441717,815,980340.0,1.300904241278338,183910.0,3.6782000000000004,127.3841059602649,302,38470.0,1.0311805994585745,263870.0,5.2774,-11625653.0,-0.5488194005414255,-10.6526
53,61,210,120,60,-94.64007568359375,0,1280.9429280397023,806,1032440.0,1.3254013779539968,183470.0,3.6693999999999996,121.82119205298014,302,36790.0,1.0296106112067993,263870.0,5.2774,-11627333.0,-0.5503893887932008,-10.6526
54,44,180,120,30,4079.409912109375,1,1179.4923258559622,847,999030.0,1.2954822738142244,171810.0,3.4361999999999995,116.97749196141478,311,36380.0,1.0287103240368074,260300.0,5.206,-11627743.0,-0.5512896759631927,-10.724
55,45,180,120,60,-85.28528594970703,0,1052.6540880503144,795,836860.0,1.2600801814960998,183470.0,3.6693999999999996,107.82894736842105,304,32780.0,1.0262792916295886,260460.0,5.2092,-11631343.0,-0.5537207083704114,-10.7208
56,13,120,120,60,191.67636108398438,0,1130.492004920049,813,919090.0,1.2810191526833326,183910.0,3.6782000000000004,101.57894736842105,304,30880.0,1.0244966602674959,251430.0,5.0286,-11633243.0,-0.5555033397325042,-10.901399999999999
57,62,210,120,95,367.3238220214844,0,1403.7715803452854,753,1057040.0,1.3543932879043141,160390.0,3.2078,107.4910394265233,279,29990.0,1.0266239357971645,273360.0,5.4672,-11634133.0,-0.5533760642028356,-10.4628
58,60,210,120,30,41.46925354003906,0,1440.081490104773,859,1237030.0,1.371511718703074,183470.0,3.6693999999999996,71.0576923076923,312,22170.0,1.0171058215346631,289710.0,5.7942,-11641953.0,-0.562894178465337,-10.1358
59,14,120,120,95,13.592601776123047,0,1473.8373655913979,744,1096535.0,1.3715140960789827,152970.0,3.0594,55.56737588652482,282,15670.0,1.013516660772356,264400.0,5.288,-11648453.0,-0.566483339227644,-10.642
60,30,150,120,95,111.06541442871094,0,1422.4500665778962,751,1068260.0,1.3592824843650941,152750.0,3.055,13.772241992882563,281,3870.0,1.0033728723450615,287080.0,5.7416,-11660253.0,-0.5766271276549386,-10.1884
61,15,120,120,165,-186.2264404296875,0,1599.3223140495868,605,967590.0,1.4244541829523472,160090.0,3.2018,-45.4054054054054,222,-10080.0,0.9884819745186539,226650.0,4.533,-11674203.0,-0.5915180254813461,-11.396999999999998
62,47,180,120,165,61.188385009765625,0,1404.9169435215947,602,845760.0,1.3639454099097839,160090.0,3.2018,-171.67420814479638,221,-37940.0,0.9575021002520302,241290.0,4.8258,-11702063.0,-0.6224978997479699,-11.104199999999999
63,31,150,120,165,-314.19866943359375,0,1564.1390728476822,604,944740.0,1.4140890383039155,143840.0,2.8768,-187.3972602739726,219,-41040.0,0.9532440900028482,230010.0,4.6002,-11705163.0,-0.6267559099971519,-11.329799999999999
64,63,210,120,165,-279.3931884765625,0,1444.546204620462,606,875395.0,1.3790261474980408,160090.0,3.2018,-251.49321266968326,221,-55580.0,0.9379278766151818,243910.0,4.8782,-11719703.0,-0.6420721233848182,-11.0518
