rank_oos,action_idx,koeff1,koeff2,sl_pts,policy_q,is_policy_best,train_avg_trade,train_trades,train_total_pnl,train_pf,train_max_dd_abs,train_max_dd_pct,oos_avg_trade,oos_trades,oos_total_pnl,oos_pf,oos_max_dd_abs,oos_max_dd_pct,delta_oos_pnl_vs_konkop,delta_oos_pf_vs_konkop,delta_oos_max_dd_pct_vs_konkop
1,0,0.5,0.5,10.0,5.139892578125,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
2,1,0.5,0.5,71.25,-81.9908218383789,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
3,2,0.5,0.5,80.0,44.181640625,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
4,3,0.5,0.5,132.5,1.6441497802734375,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
5,4,0.5,0.5,193.75,238.12391662597656,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
6,5,0.5,0.5,255.0,-88.68222045898438,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
7,6,0.5,0.5,316.25,-70.57942962646484,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
8,7,0.5,0.5,377.5,-14.1015625,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
9,8,0.5,0.5,438.75,46.05998611450195,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
10,9,0.5,0.5,500.0,138.05303955078125,0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
11,10,0.5,0.75,10.0,110.45399475097656,0,1200.837837837838,925,1110775.0,1.2160721371937224,222610.0,4.4521999999999995,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
12,11,0.5,0.75,71.25,-41.84397888183594,0,1200.837837837838,925,1110775.0,1.2160721371937224,222610.0,4.4521999999999995,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
