trades,net_pnl,pf,max_dd_pct,win_rate,long_idx,short_idx,threshold,auc,base_trades
45,2372477.1199999996,1.8391323698611977,14.48820492100847,0.4222222222222222,0,0,0.48,0.5502873563218391,180
41,1279411.0600000003,1.5209707736130853,12.168765667795727,0.43902439024390244,0,0,0.5,0.5502873563218391,180
35,587175.6599999999,1.2540738726001932,14.488488520239788,0.42857142857142855,0,0,0.52,0.5502873563218391,180
42,1163584.0999999999,1.3565029336860615,16.56026521371695,0.38095238095238093,0,1,0.48,0.5238095238095237,167
31,1960276.9599999997,1.8332168453900899,13.22445035100964,0.41935483870967744,0,1,0.5,0.5238095238095237,167
15,-65595.94000000009,0.9375519488558407,13.540935218709722,0.4666666666666667,0,1,0.52,0.5238095238095237,167
50,-209702.64800000013,0.9355821836393285,27.80206630257801,0.36,0,2,0.48,0.44745908699397074,190
39,-480291.5800000002,0.7705475763346371,22.093373358457022,0.38461538461538464,0,2,0.5,0.44745908699397074,190
25,-495930.72000000003,0.6791448325817523,16.61352062324388,0.36,0,2,0.52,0.44745908699397074,190
77,3104783.12,1.6289934876494832,15.50593622782372,0.36363636363636365,0,3,0.48,0.5920868347338936,219
54,4654425.159999999,2.6532314137873136,8.959591817910532,0.4074074074074074,0,3,0.5,0.5920868347338936,219
9,-143514.43999999994,0.7378798907147659,8.614817711185351,0.4444444444444444,0,3,0.52,0.5920868347338936,219
58,5609865.039999999,2.6081405632371197,9.971211994452695,0.43103448275862066,0,4,0.48,0.4664705882352941,173
35,1605091.6600000001,1.7174667822462741,8.340129985630622,0.42857142857142855,0,4,0.5,0.4664705882352941,173
13,1011817.0599999998,2.0138996097985262,9.127662774571485,0.3076923076923077,0,4,0.52,0.4664705882352941,173
51,4309720.899999999,2.2431494567563885,15.302209443749023,0.45098039215686275,0,5,0.48,0.5097142857142857,173
30,1677104.5200000003,1.7819150488118165,12.471236038861827,0.4,0,5,0.5,0.5097142857142857,173
8,1481659.1199999999,8.426835208731559,2.6088547345077333,0.5,0,5,0.52,0.5097142857142857,173
30,3207229.880000001,2.592217955330997,11.035969691955342,0.5,0,6,0.48,0.6881313131313131,163
20,3535060.3000000003,4.187661434037598,9.189817348447239,0.55,0,6,0.5,0.6881313131313131,163
11,1707253.2999999998,3.809170754470477,8.076216975034397,0.7272727272727273,0,6,0.52,0.6881313131313131,163
47,-1235239.4479999999,0.7148786280359329,41.66725441987856,0.3829787234042553,0,7,0.48,0.6114285714285714,162
41,-844971.7880000001,0.7814362123795667,36.350203691647664,0.4146341463414634,0,7,0.5,0.6114285714285714,162
31,-162960.14799999996,0.9427356436175108,26.33346084163052,0.41935483870967744,0,7,0.52,0.6114285714285714,162
49,3453802.8000000003,2.0339736993683877,13.34119206053411,0.42857142857142855,0,8,0.48,0.4421768707482993,159
19,-832658.9400000001,0.46211404989915633,22.829009695648313,0.3684210526315789,0,8,0.5,0.4421768707482993,159
6,-45894.80000000005,0.8641604639075783,6.16899834017487,0.3333333333333333,0,8,0.52,0.4421768707482993,159
99,4093489.5999999996,1.7020364679639397,17.191010994037192,0.40404040404040403,0,9,0.48,0.5363751051303616,260
77,5272066.779999999,2.2723764867996716,12.444067780029746,0.42857142857142855,0,9,0.5,0.5363751051303616,260
0,0.0,0.0,0.0,,0,9,0.52,0.5363751051303616,260
47,1255027.3999999997,1.4494331139199834,19.157624465341442,0.46808510638297873,0,10,0.48,0.5531034482758621,171
38,606108.92,1.3057014678699927,14.73360527835999,0.47368421052631576,0,10,0.5,0.5531034482758621,171
23,644761.0799999998,1.560947003908039,11.658628439237976,0.5217391304347826,0,10,0.52,0.5531034482758621,171
72,2835546.504,1.582810651018315,19.583928819632806,0.375,0,11,0.48,0.4868312757201646,207
52,3085140.2999999993,1.8905528868985644,17.49691274277296,0.40384615384615385,0,11,0.5,0.4868312757201646,207
0,0.0,0.0,0.0,,0,11,0.52,0.4868312757201646,207
53,2639869.8400000003,1.7383899310735507,14.341966052717362,0.49056603773584906,0,12,0.48,0.5754141238012206,196
