entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction,pnl_1c
2007-03-30 16:47:00,2007-04-17 16:45:00,194660.0,197210.0,52,132600.0,signal_reverse,long,2550.0
2007-06-18 16:36:00,2007-06-18 17:59:00,192135.0,191800.0,36,-12060.0,close_opposing,long,-335.0
2007-06-19 16:33:00,2007-06-22 16:29:00,191410.0,190730.0,40,-27200.0,signal_reverse,long,-680.0
2007-06-25 17:59:00,2007-07-02 16:34:00,189700.0,193790.0,40,-163600.0,close_opposing,short,-4090.0
2007-07-02 17:59:00,2007-07-03 16:31:00,193700.0,196610.0,40,-116400.0,close_opposing,short,-2910.0
2007-07-03 17:59:00,2007-07-05 16:31:00,196755.0,199135.0,40,-95200.0,close_opposing,short,-2380.0
2007-07-05 17:59:00,2007-07-09 16:36:00,198900.0,201050.0,40,-86000.0,close_opposing,short,-2150.0
2007-07-09 17:59:00,2007-07-12 16:30:00,201000.0,204905.0,40,-156200.0,close_opposing,short,-3905.0
2007-07-12 17:59:00,2007-07-16 16:34:00,208505.0,208570.0,28,-1820.0,close_opposing,short,-65.0
2007-07-17 16:36:00,2007-07-24 16:32:00,205725.0,207295.0,48,75360.0,signal_reverse,long,1570.0
2007-09-18 16:29:00,2007-10-05 16:29:00,196370.0,213100.0,60,1003800.0,signal_reverse,long,16730.0
2007-10-05 17:59:00,2007-10-15 17:59:00,214265.0,219045.0,36,-172080.0,signal_reverse,short,-4780.0
2007-12-05 17:59:00,2007-12-06 17:59:00,228200.0,227700.0,40,20000.0,signal_reverse,short,500.0
2007-12-18 17:59:00,2007-12-26 17:59:00,233350.0,230685.0,24,63960.0,signal_reverse,short,2665.0
2008-01-14 17:59:00,2008-01-15 17:59:00,236890.0,235380.0,40,60400.0,signal_reverse,short,1510.0
2008-04-07 16:32:00,2008-04-08 16:32:00,209055.0,207760.0,48,-62160.0,signal_reverse,long,-1295.0
2008-04-09 16:32:00,2008-04-11 16:32:00,210235.0,208080.0,56,-120680.0,signal_reverse,long,-2155.0
2008-04-16 16:32:00,2008-04-23 16:32:00,211305.0,213485.0,40,87200.0,signal_reverse,long,2180.0
2008-05-07 16:32:00,2008-05-12 16:32:00,218450.0,229215.0,60,645900.0,signal_reverse,long,10765.0
2008-05-12 17:59:00,2008-05-19 17:59:00,231435.0,248900.0,20,-349300.0,signal_reverse,short,-17465.0
2008-10-30 16:35:00,2008-11-11 16:32:00,78740.0,72970.0,16,-92320.0,signal_reverse,long,-5770.0
2008-12-23 18:47:00,2008-12-24 18:47:00,67550.0,66155.0,40,55800.0,signal_reverse,short,1395.0
2009-02-09 16:32:00,2009-02-17 16:32:00,56570.0,52580.0,56,-223440.0,signal_reverse,long,-3990.0
2009-03-04 16:32:00,2009-03-05 16:32:00,56075.0,55335.0,56,-41440.0,signal_reverse,long,-740.0
2009-03-06 16:32:00,2009-03-10 12:12:00,57360.0,59895.0,60,152100.0,expiration,long,2535.0
2009-03-18 16:32:00,2009-03-18 18:47:00,63580.0,62680.0,52,-46800.0,close_opposing,long,-900.0
2009-03-19 16:32:00,2009-03-19 18:47:00,69175.0,67850.0,44,-58300.0,close_opposing,long,-1325.0
2009-03-20 18:59:00,2009-03-26 18:47:00,68060.0,72760.0,40,-188000.0,signal_reverse,short,-4700.0
2009-04-23 18:47:00,2009-04-27 18:47:00,79095.0,77285.0,40,72400.0,signal_reverse,short,1810.0
2009-05-04 18:47:00,2009-05-21 18:47:00,82645.0,97855.0,40,-608400.0,signal_reverse,short,-15210.0
2009-07-20 16:32:00,2009-07-29 16:32:00,95820.0,96080.0,44,11440.0,signal_reverse,long,260.0
2009-07-31 16:32:00,2009-08-07 16:32:00,99655.0,106655.0,32,224000.0,signal_reverse,long,7000.0
2009-08-10 16:32:00,2009-08-11 16:32:00,105425.0,104300.0,32,-36000.0,signal_reverse,long,-1125.0
2009-08-25 18:47:00,2009-08-26 18:47:00,109555.0,107000.0,32,81760.0,signal_reverse,short,2555.0
2009-08-28 18:32:00,2009-08-31 18:32:00,107360.0,104545.0,40,112600.0,signal_reverse,short,2815.0
2009-09-01 18:32:00,2009-09-02 18:32:00,106670.0,102935.0,36,134460.0,signal_reverse,short,3735.0
2009-09-07 18:32:00,2009-09-08 12:29:00,108675.0,111575.0,40,-116000.0,expiration,short,-2900.0
2009-09-18 18:32:00,2009-09-21 18:32:00,123725.0,119305.0,40,176800.0,signal_reverse,short,4420.0
2009-10-06 18:32:00,2009-10-22 18:32:00,125870.0,144535.0,40,-746600.0,signal_reverse,short,-18665.0
2009-11-16 18:32:00,2009-11-24 18:32:00,147780.0,142610.0,36,186120.0,signal_reverse,short,5170.0
2009-12-18 16:32:00,2009-12-28 16:32:00,142800.0,146650.0,40,154000.0,signal_reverse,long,3850.0
2009-12-28 18:32:00,2010-01-11 16:32:00,146085.0,157455.0,40,-454800.0,close_opposing,short,-11370.0
2010-01-11 18:32:00,2010-01-18 16:32:00,157205.0,158010.0,24,-19320.0,close_opposing,short,-805.0
2010-01-19 16:32:00,2010-01-21 16:32:00,157090.0,154955.0,56,-119560.0,signal_reverse,long,-2135.0
2010-03-02 18:32:00,2010-03-03 16:32:00,143895.0,144515.0,40,-24800.0,close_opposing,short,-620.0
2010-03-03 18:32:00,2010-03-04 16:32:00,146095.0,147700.0,40,-64200.0,close_opposing,short,-1605.0
2010-03-04 18:32:00,2010-03-05 16:32:00,146375.0,149705.0,40,-133200.0,close_opposing,short,-3330.0
2010-03-05 18:32:00,2010-03-09 12:29:00,150520.0,149665.0,40,34200.0,expiration,short,855.0
2010-03-18 16:32:00,2010-03-19 16:32:00,155625.0,154835.0,56,-44240.0,signal_reverse,long,-790.0
2010-03-29 18:32:00,2010-03-30 16:32:00,154405.0,156070.0,40,-66600.0,close_opposing,short,-1665.0
2010-03-30 18:32:00,2010-03-31 16:32:00,155495.0,156585.0,40,-43600.0,close_opposing,short,-1090.0
2010-03-31 18:32:00,2010-04-01 16:32:00,156545.0,159280.0,40,-109400.0,close_opposing,short,-2735.0
2010-04-01 18:32:00,2010-04-02 16:32:00,159500.0,159780.0,40,-11200.0,close_opposing,short,-280.0
2010-04-02 18:32:00,2010-04-05 16:32:00,159770.0,160225.0,40,-18200.0,close_opposing,short,-455.0
2010-04-05 18:32:00,2010-04-06 16:32:00,160580.0,161150.0,40,-22800.0,close_opposing,short,-570.0
2010-04-06 18:32:00,2010-04-14 18:32:00,161315.0,163995.0,40,-107200.0,signal_reverse,short,-2680.0
2010-06-03 16:02:00,2010-06-04 16:02:00,140595.0,137215.0,36,-121680.0,signal_reverse,long,-3380.0
2010-06-18 16:02:00,2010-06-24 16:02:00,139460.0,139705.0,40,9800.0,signal_reverse,long,245.0
2010-07-13 16:02:00,2010-07-15 18:02:00,141170.0,140715.0,56,-25480.0,close_opposing,long,-455.0
2010-07-16 18:02:00,2010-07-20 18:02:00,137945.0,138045.0,40,-4000.0,signal_reverse,short,-100.0
2010-07-21 18:02:00,2010-07-22 16:02:00,141195.0,143280.0,40,-83400.0,close_opposing,short,-2085.0
2010-07-22 18:02:00,2010-07-23 16:02:00,144575.0,145310.0,40,-29400.0,close_opposing,short,-735.0
2010-07-23 18:02:00,2010-07-26 16:02:00,144255.0,145865.0,40,-64400.0,close_opposing,short,-1610.0
2010-07-26 18:02:00,2010-07-27 16:02:00,146920.0,149190.0,40,-90800.0,close_opposing,short,-2270.0
2010-07-27 18:02:00,2010-07-29 16:02:00,148910.0,149760.0,40,-34000.0,close_opposing,short,-850.0
2010-07-29 18:02:00,2010-08-03 18:32:00,150180.0,151060.0,40,-35200.0,signal_reverse,short,-880.0
2010-09-02 18:02:00,2010-09-08 11:59:00,145850.0,145690.0,40,6400.0,expiration,short,160.0
2010-10-01 16:02:00,2010-10-01 18:02:00,153255.0,153145.0,84,-9240.0,close_opposing,long,-110.0
2010-10-04 16:02:00,2010-10-04 18:02:00,154505.0,154280.0,76,-17100.0,close_opposing,long,-225.0
2010-10-05 18:02:00,2010-10-19 18:02:00,156230.0,156580.0,40,-14000.0,signal_reverse,short,-350.0
2010-11-01 18:02:00,2010-11-12 18:02:00,160820.0,161890.0,40,-42800.0,signal_reverse,short,-1070.0
2010-12-01 18:02:00,2010-12-02 16:02:00,163675.0,166050.0,40,-95000.0,close_opposing,short,-2375.0
2010-12-02 18:02:00,2010-12-03 16:02:00,166145.0,169880.0,40,-149400.0,close_opposing,short,-3735.0
2010-12-03 18:02:00,2010-12-07 16:02:00,170105.0,173830.0,40,-149000.0,close_opposing,short,-3725.0
2010-12-07 18:02:00,2010-12-08 11:59:00,173025.0,172400.0,40,25000.0,expiration,short,625.0
2011-02-01 18:02:00,2011-02-03 18:02:00,189875.0,191785.0,40,-76400.0,signal_reverse,short,-1910.0
2011-02-25 18:02:00,2011-02-28 16:02:00,191710.0,195560.0,36,-138600.0,close_opposing,short,-3850.0
2011-02-28 18:02:00,2011-03-03 16:02:00,196740.0,201925.0,40,-207400.0,close_opposing,short,-5185.0
